dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.697334729981378
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7657635009310987
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8253445065176911
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.8542411545623837
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8522555865921788
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8514711359404097
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.8511033519553073
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.8498533519553072
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.8516666666666666
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.8504166666666667
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.8661522346368714
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.697334729981378
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7544134078212291
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8011522346368714
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.83
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.8395833333333331
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.8424999999999999
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.8441666666666667
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.8458333333333332
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.84625
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.8470833333333333
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8883333333333332
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7883100558659217
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8443389199255121
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.8757844506517691
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.8762011173184358
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.8778677839851023
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.8745344506517693
