2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	With a discrete amount of probabilities Formula one with the condition formula two and Formula three any real number , the Tsallis is defined as entropy as	With a discrete amount of probabilities Formula 6 with the condition formula 7 and Formula 1 any real number , the Tsallis is defined as entropy as
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916 , with a total of fifty-seven barrels and fifty-six cars completed by the end of the war .	The first five weapons were delivered in the first half of 1916 , with a total of 14 barrels and 83 cars completed by the end of the war .
47	none	Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .	none	Brockton is approximately twenty-five miles northeast of Providence , Rhode Island , and thirty miles south of Boston .	Brockton is approximately 91 miles northeast of Providence , Rhode Island , and 36 miles south of Boston .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- eight Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- eight College - Basketball - Season .	The 2007 -- 94 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 84 College - Basketball - Season .
123	none	Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .	none	Gimnasia y Esgrima ( LP ) won three -- two and stayed in the Primera División .	Gimnasia y Esgrima ( LP ) won 2 -- 6 and stayed in the Primera División .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in two hundred and nine , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	Earlier in 124 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or one point three five percent , is water .	According to the United States Census Bureau , the city is a total surface area of which has land and , or 5.57 % , is water .
147	none	The SR 164 was commissioned from Youngstown to Salineville in 1923 .	none	The SR one hundred and sixty-four was commissioned from Youngstown to Salineville in 1923 .	The SR 596 was commissioned from Youngstown to Salineville in 1923 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of eight players on the final website of the ATP World Tour .	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 4 players on the final website of the ATP World Tour .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also fifty-eight liaison aircraft but twenty of these were only used for messengers .	There were also 36 liaison aircraft but 58 of these were only used for messengers .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The branch codice two is updated daily , the branch codice three is updated every six months .	The branch codice 8 is updated daily , the branch codice 4 is updated every 8 months .
213	none	Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .	none	Alycia Moulton defeated Billie Jean King at six -- zero , seven -- five .	Alycia Moulton defeated Billie Jean King at 8 -- 4 , 4 -- 7 .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans eleven thousand, two hundred and sixteen inhabitants ( five thousand, eight hundred and twenty-seven men and five thousand, three hundred and eighty-nine women ) .	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 54,216 inhabitants ( 6,827 men and 2,389 women ) .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now resolve the indifference bid price for Formula thirty-one to solve .	Now resolve the indifference bid price for Formula 58 to solve .
272	none	Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .	none	Ryan Sweeting won in the final six -- four , six -- three , against Evans .	Ryan Sweeting won in the final 9 -- 3 , 2 -- 8 , against Evans .
274	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from twenty-three to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	It took place from 38 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
283	none	The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .	none	The network previously operated a translator in Waterbury , W12BH ( channel twelve ) , which directly repeated WEDY .	The network previously operated a translator in Waterbury , W12BH ( channel 48 ) , which directly repeated WEDY .
312	none	These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation of Indian aviation .	none	These airlines connect more than eighty cities across India and also operate overseas routes after the liberalisation of Indian aviation .	These airlines connect more than 13 cities across India and also operate overseas routes after the liberalisation of Indian aviation .
327	none	Kathy Rinaldi defeated Bonnie Gadusek at 6 -- 1 , 6 -- 3 .	none	Kathy Rinaldi defeated Bonnie Gadusek at six -- one , six -- three .	Kathy Rinaldi defeated Bonnie Gadusek at 7 -- 3 , 9 -- 6 .
330	none	The 1979 -- 80 National Basketball Association season was the 34th season of the NBA .	none	The 1979 -- eighty National Basketball Association season was the 34th season of the NBA .	The 1979 -- 64 National Basketball Association season was the 34th season of the NBA .
393	none	Just north of South Huntington , NY 110 enters an at-grade intersection with NY 25 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .	none	Just north of South Huntington , NY one hundred and ten enters an at-grade intersection with NY twenty-five ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .	Just north of South Huntington , NY 972 enters an at-grade intersection with NY 45 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .
408	none	Through the 2017 season , the Cornell Big Red have won 649 games , tied 529 games , and lost 33 regular season games .	none	Through the 2017 season , the Cornell Big Red have won six hundred and forty-nine games , tied five hundred and twenty-nine games , and lost thirty-three regular season games .	Through the 2017 season , the Cornell Big Red have won 915 games , tied 198 games , and lost 76 regular season games .
439	none	In codice _ 4 the second file is codice _ 8 and in codice _ 5 the second file is codice _ 10 .	none	In codice _ four the second file is codice _ eight and in codice _ five the second file is codice _ ten .	In codice _ 6 the second file is codice _ 2 and in codice _ 1 the second file is codice _ 36 .
516	none	Mouhoun is one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .	none	Mouhoun is one of the forty-five provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .	Mouhoun is one of the 53 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .
567	none	Match 1 : Naoki Sano defeats Masahito Kakihara ( leg submission )	none	Match one : Naoki Sano defeats Masahito Kakihara ( leg submission )	Match 2 : Naoki Sano defeats Masahito Kakihara ( leg submission )
624	none	The Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .	none	The Alliance Française de Dhaka is located at twenty-six Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .	The Alliance Française de Dhaka is located at 74 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .
