error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9516909,0.9314811
add,4,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98280066,0.96986985
add,5,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98489314,0.967044
add,8,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9875373,0.9518793
add,12,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9459676,0.93549865
add,13,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9928597,0.95720845
add,16,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96944517,0.9693342
add,18,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96589226,0.98023945
add,27,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99514854,0.97084665
add,29,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9948067,0.9832693
add,32,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98640805,0.94539243
add,34,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9924922,0.9706102
add,37,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9850432,0.9711189
add,40,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98872864,0.96911144
add,44,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9886553,0.96102154
add,45,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98833674,0.98017204
add,48,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.986621,0.9709614
add,51,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99356705,0.97921455
add,56,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9819496,0.98285973
add,65,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97098595,0.96165013
add,66,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98784035,0.9813629
add,69,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.976047,0.9653747
add,71,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9976093,0.97395337
add,78,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9926126,0.94787186
add,87,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9721362,0.97644573
add,92,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.95132893,0.9503612
add,93,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.984915,0.95431244
add,96,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9959905,0.9730734
add,100,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9497585,0.9492972
add,110,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98500216,0.9686334
add,112,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9882736,0.9588074
add,115,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9831936,0.98504096
add,117,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9902195,0.96956265
add,120,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9903636,0.9860746
add,125,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99787295,0.9817285
add,129,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9757648,0.94139254
add,130,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9914797,0.99272114
add,132,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.98454565,0.97952807
add,133,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9899034,0.9360845
add,135,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9948391,0.9718171
add,137,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.9433331,0.98253685
add,138,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99117726,0.93656707
add,141,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.99644446,0.96582717
add,145,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.96496695,0.97476536
add,148,BERTScore(roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0)),None,,,0.97275984,0.9635754
