error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,BARTScore(bart-large-cnn+para_bi),None,,,-1.1543859839439392,-1.337565392255783
add,5,BARTScore(bart-large-cnn+para_bi),None,,,-1.5233164131641388,-1.873652160167694
add,7,BARTScore(bart-large-cnn+para_bi),None,,,-1.5590035319328308,-1.6565083265304565
add,8,BARTScore(bart-large-cnn+para_bi),None,,,-1.6109899282455444,-1.5778255462646484
add,11,BARTScore(bart-large-cnn+para_bi),None,,,-1.1255767345428467,-1.9014566540718079
add,12,BARTScore(bart-large-cnn+para_bi),None,,,-1.6034501791000366,-1.288556545972824
add,13,BARTScore(bart-large-cnn+para_bi),None,,,-1.1683523654937744,-1.8489365577697754
add,14,BARTScore(bart-large-cnn+para_bi),None,,,-1.0964571833610535,-1.9609699845314026
add,15,BARTScore(bart-large-cnn+para_bi),None,,,-1.907179594039917,-2.1566112637519836
add,18,BARTScore(bart-large-cnn+para_bi),None,,,-0.908422201871872,-1.739848643541336
add,20,BARTScore(bart-large-cnn+para_bi),None,,,-1.1746197938919067,-1.5047232508659363
add,21,BARTScore(bart-large-cnn+para_bi),None,,,-0.7677856981754303,-1.2203140258789062
add,22,BARTScore(bart-large-cnn+para_bi),None,,,-1.2661323547363281,-1.4723165035247803
add,27,BARTScore(bart-large-cnn+para_bi),None,,,-1.8301903009414673,-2.0634180903434753
add,29,BARTScore(bart-large-cnn+para_bi),None,,,-2.6099995374679565,-1.812272071838379
add,31,BARTScore(bart-large-cnn+para_bi),None,,,-1.2921170592308044,-1.3840282559394836
add,35,BARTScore(bart-large-cnn+para_bi),None,,,-0.9309844672679901,-1.5564084351062775
add,38,BARTScore(bart-large-cnn+para_bi),None,,,-1.407363474369049,-1.6409743428230286
add,41,BARTScore(bart-large-cnn+para_bi),None,,,-1.2431514859199524,-1.2473543584346771
add,44,BARTScore(bart-large-cnn+para_bi),None,,,-0.949193924665451,-1.7347808480262756
add,45,BARTScore(bart-large-cnn+para_bi),None,,,-1.0150506794452667,-1.3066637516021729
add,51,BARTScore(bart-large-cnn+para_bi),None,,,-1.193396806716919,-1.1990139782428741
add,53,BARTScore(bart-large-cnn+para_bi),None,,,-1.3530441522598267,-1.3170341849327087
add,54,BARTScore(bart-large-cnn+para_bi),None,,,-0.7908205986022949,-1.2079850137233734
add,57,BARTScore(bart-large-cnn+para_bi),None,,,-0.9308597147464752,-1.1227463781833649
add,65,BARTScore(bart-large-cnn+para_bi),None,,,-0.7771465182304382,-1.5132708251476288
add,69,BARTScore(bart-large-cnn+para_bi),None,,,-1.9021646976470947,-2.037779688835144
add,79,BARTScore(bart-large-cnn+para_bi),None,,,-1.2396634221076965,-1.4547550678253174
add,80,BARTScore(bart-large-cnn+para_bi),None,,,-1.2415404915809631,-1.482357382774353
add,81,BARTScore(bart-large-cnn+para_bi),None,,,-1.5443291068077087,-2.060386538505554
add,82,BARTScore(bart-large-cnn+para_bi),None,,,-1.1267048716545105,-1.384701430797577
add,88,BARTScore(bart-large-cnn+para_bi),None,,,-0.73223015666008,-1.1194012463092804
add,90,BARTScore(bart-large-cnn+para_bi),None,,,-1.207955002784729,-1.488933950662613
add,92,BARTScore(bart-large-cnn+para_bi),None,,,-1.4724016785621643,-1.5645495057106018
add,95,BARTScore(bart-large-cnn+para_bi),None,,,-1.1425009369850159,-1.1330857276916504
add,102,BARTScore(bart-large-cnn+para_bi),None,,,-1.4794782996177673,-2.1336986422538757
add,104,BARTScore(bart-large-cnn+para_bi),None,,,-1.3431081473827362,-1.9388325810432434
add,106,BARTScore(bart-large-cnn+para_bi),None,,,-1.0154713988304138,-1.28157240152359
add,107,BARTScore(bart-large-cnn+para_bi),None,,,-0.8796935379505157,-1.4323319792747498
add,108,BARTScore(bart-large-cnn+para_bi),None,,,-1.7024019360542297,-1.3042706847190857
add,109,BARTScore(bart-large-cnn+para_bi),None,,,-1.1705729961395264,-1.0594515204429626
add,115,BARTScore(bart-large-cnn+para_bi),None,,,-1.8568846583366394,-2.736522078514099
add,119,BARTScore(bart-large-cnn+para_bi),None,,,-0.9824923574924469,-1.508825659751892
add,125,BARTScore(bart-large-cnn+para_bi),None,,,-1.4471582174301147,-1.5634285807609558
add,130,BARTScore(bart-large-cnn+para_bi),None,,,-0.9567252099514008,-1.9361549019813538
add,145,BARTScore(bart-large-cnn+para_bi),None,,,-1.408921241760254,-2.1205129623413086
add,162,BARTScore(bart-large-cnn+para_bi),None,,,-2.2742649912834167,-2.5420360565185547
add,165,BARTScore(bart-large-cnn+para_bi),None,,,-0.8147491812705994,-1.3086650371551514
add,175,BARTScore(bart-large-cnn+para_bi),None,,,-1.1514747738838196,-1.403530329465866
add,177,BARTScore(bart-large-cnn+para_bi),None,,,-1.6418081521987915,-1.9843604564666748
add,184,BARTScore(bart-large-cnn+para_bi),None,,,-1.8325846791267395,-1.7443760633468628
add,201,BARTScore(bart-large-cnn+para_bi),None,,,-1.1078796982765198,-1.578245460987091
add,218,BARTScore(bart-large-cnn+para_bi),None,,,-0.9581173360347748,-1.4250501096248627
add,219,BARTScore(bart-large-cnn+para_bi),None,,,-1.2571110129356384,-1.5456857681274414
add,224,BARTScore(bart-large-cnn+para_bi),None,,,-1.0670164227485657,-1.1900519132614136
add,230,BARTScore(bart-large-cnn+para_bi),None,,,-1.6893644332885742,-1.667237401008606
add,231,BARTScore(bart-large-cnn+para_bi),None,,,-0.9663352966308594,-1.273388385772705
add,232,BARTScore(bart-large-cnn+para_bi),None,,,-2.0804402828216553,-1.5230172872543335
add,234,BARTScore(bart-large-cnn+para_bi),None,,,-1.2518551051616669,-1.2359106540679932
add,240,BARTScore(bart-large-cnn+para_bi),None,,,-1.7868024706840515,-1.876201868057251
add,244,BARTScore(bart-large-cnn+para_bi),None,,,-1.0249011516571045,-1.5904744863510132
add,246,BARTScore(bart-large-cnn+para_bi),None,,,-1.1339436769485474,-1.5756982564926147
add,247,BARTScore(bart-large-cnn+para_bi),None,,,-1.1248510479927063,-1.506079226732254
add,249,BARTScore(bart-large-cnn+para_bi),None,,,-0.93215411901474,-1.2792410254478455
add,250,BARTScore(bart-large-cnn+para_bi),None,,,-1.101354569196701,-2.3254940509796143
add,251,BARTScore(bart-large-cnn+para_bi),None,,,-1.1798176169395447,-1.2921444773674011
add,253,BARTScore(bart-large-cnn+para_bi),None,,,-0.8506811857223511,-1.305726319551468
add,259,BARTScore(bart-large-cnn+para_bi),None,,,-1.4981561303138733,-1.0742892026901245
add,260,BARTScore(bart-large-cnn+para_bi),None,,,-1.3512701988220215,-1.2704457938671112
add,263,BARTScore(bart-large-cnn+para_bi),None,,,-1.3568285703659058,-1.6618088483810425
add,268,BARTScore(bart-large-cnn+para_bi),None,,,-1.3032920956611633,-1.475976288318634
add,269,BARTScore(bart-large-cnn+para_bi),None,,,-1.2907158732414246,-1.6954264640808105
add,270,BARTScore(bart-large-cnn+para_bi),None,,,-0.9758772850036621,-1.6593797206878662
add,273,BARTScore(bart-large-cnn+para_bi),None,,,-1.1076505184173584,-1.9516738653182983
add,276,BARTScore(bart-large-cnn+para_bi),None,,,-1.2628583908081055,-1.4731677770614624
add,279,BARTScore(bart-large-cnn+para_bi),None,,,-0.7863803803920746,-1.9253845810890198
add,291,BARTScore(bart-large-cnn+para_bi),None,,,-1.334367275238037,-2.4902930855751038
add,292,BARTScore(bart-large-cnn+para_bi),None,,,-2.0320181250572205,-1.8677901029586792
add,303,BARTScore(bart-large-cnn+para_bi),None,,,-1.305362582206726,-1.3047468960285187
add,308,BARTScore(bart-large-cnn+para_bi),None,,,-0.9256810247898102,-2.0725852847099304
add,310,BARTScore(bart-large-cnn+para_bi),None,,,-1.4794492721557617,-2.3013325929641724
add,311,BARTScore(bart-large-cnn+para_bi),None,,,-1.7170539498329163,-2.325993537902832
add,312,BARTScore(bart-large-cnn+para_bi),None,,,-1.1370208859443665,-2.288854718208313
add,315,BARTScore(bart-large-cnn+para_bi),None,,,-1.4360070824623108,-1.701448142528534
add,320,BARTScore(bart-large-cnn+para_bi),None,,,-1.1040565371513367,-1.5835166573524475
add,321,BARTScore(bart-large-cnn+para_bi),None,,,-1.4389694333076477,-1.7062262892723083
add,322,BARTScore(bart-large-cnn+para_bi),None,,,-0.9300269782543182,-1.3262134790420532
add,323,BARTScore(bart-large-cnn+para_bi),None,,,-0.8806361854076385,-2.071395516395569
