dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.5147058823529411,0.1176470588235294,0.3763863263545405,0.5294117647058822,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.588235294117647,0.2205882352941176,0.45018756681621513,0.6029411764705882,0.46548806817464194
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.6029411764705882,0.2647058823529411,0.40590682253921034,0.6176470588235293,0.4728002350465672
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.588235294117647,0.2794117647058823,0.4206670706315453,0.5735294117647058,0.46546088530494506
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.5294117647058822,0.3676470588235294,0.3616260782622056,0.5147058823529411,0.4433476960361396
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.4411764705882352,0.338235294117647,0.273064589708196,0.4264705882352941,0.3697367356623431
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.3823529411764705,0.4264705882352941,0.287824837800531,0.4264705882352941,0.3807797388618974
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.2647058823529411,0.5147058823529411,0.3173453339852008,0.39705882352941174,0.3734539805551237
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.20588235294117643,0.5735294117647058,0.3173453339852008,0.3676470588235294,0.3661010393786531
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.10294117647058822,0.5588235294117646,0.3321055820775357,0.3235294117647059,0.3293499249311486
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.5735294117647058,0.2352941176470588,0.46494781490855003,0.588235294117647,0.4655016596094904
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.6176470588235293,0.2794117647058823,0.45018756681621513,0.6029411764705882,0.48754689170405374
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.6029411764705882,0.2941176470588235,0.40590682253921034,0.588235294117647,0.47280023504656726
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,mean,system,kendall,0.5441176470588235,0.3529411764705882,0.40590682253921034,0.4705882352941176,0.4433884703406849
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,mean,system,kendall,0.48529411764705876,0.3529411764705882,0.3173453339852008,0.41176470588235287,0.39183633349630015
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,mean,system,kendall,0.4264705882352941,0.3235294117647059,0.2287838454311913,0.3529411764705882,0.3329312554754449
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,mean,system,kendall,0.3676470588235294,0.41176470588235287,0.25830434161586113,0.2352941176470588,0.3182525559922006
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,mean,system,kendall,0.1764705882352941,0.5147058823529411,0.3173453339852008,0.19117647058823525,0.29992456879041784
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,mean,system,kendall,0.0588235294117647,0.5147058823529411,0.3173453339852008,0.16176470588235295,0.2631598629080649
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,max,system,kendall,0.4411764705882352,0.07352941176470587,0.30258508589286587,0.4264705882352941,0.3109403891202753
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,max,system,kendall,0.4705882352941176,0.10294117647058822,0.3321055820775357,0.45588235294117646,0.3403793366958545
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,max,system,kendall,0.5588235294117646,0.19117647058823525,0.3616260782622056,0.5147058823529411,0.4065829901537866
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,max,system,kendall,0.6176470588235293,0.24999999999999997,0.3616260782622056,0.5735294117647058,0.45070063721261017
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,max,system,kendall,0.6176470588235293,0.24999999999999997,0.3616260782622056,0.5735294117647058,0.45070063721261017
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,max,system,kendall,0.5294117647058822,0.30882352941176466,0.30258508589286587,0.48529411764705876,0.40652862441439286
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,max,system,kendall,0.4264705882352941,0.3235294117647059,0.273064589708196,0.41176470588235287,0.3587073238976372
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,max,system,kendall,0.3529411764705882,0.48529411764705876,0.34686583016987066,0.3676470588235294,0.38818704577776175
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,max,system,kendall,0.2794117647058823,0.588235294117647,0.4206670706315453,0.3529411764705882,0.4103138264814157
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,max,system,kendall,0.13235294117647056,0.5588235294117646,0.45018756681621513,0.2647058823529411,0.35151747993934784
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,mean,system,kendall,0.49999999999999994,0.19117647058823525,0.3616260782622056,0.5147058823529411,0.3918771078008455
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,mean,system,kendall,0.5735294117647058,0.2647058823529411,0.40590682253921034,0.5588235294117646,0.4507414115171555
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,mean,system,kendall,0.6176470588235293,0.30882352941176466,0.39114657444687545,0.6029411764705882,0.4801395847881894
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,mean,system,kendall,0.6029411764705882,0.2941176470588235,0.3763863263545405,0.588235294117647,0.46542011100039976
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,mean,system,kendall,0.588235294117647,0.2794117647058823,0.3616260782622056,0.5735294117647058,0.45070063721261017
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,mean,system,kendall,0.588235294117647,0.2794117647058823,0.30258508589286587,0.5735294117647058,0.4359403891202752
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,mean,system,kendall,0.48529411764705876,0.3529411764705882,0.2287838454311913,0.4705882352941176,0.38440184371073893
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,mean,system,kendall,0.4411764705882352,0.45588235294117646,0.21402359733885637,0.39705882352941174,0.37703531109941996
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,mean,system,kendall,0.2205882352941176,0.5588235294117646,0.21402359733885637,0.2647058823529411,0.3145353110994199
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,mean,system,kendall,0.0,0.6029411764705882,0.3173453339852008,0.16176470588235295,0.2705128040845355
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,max,system,kendall,0.6470588235294118,0.24999999999999997,0.45018756681621513,0.6323529411764706,0.49489983288052436
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,max,system,kendall,0.676470588235294,0.30882352941176466,0.45018756681621513,0.6911764705882353,0.5316645387628773
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,max,system,kendall,0.6617647058823529,0.3235294117647059,0.4354273187238802,0.676470588235294,0.5242980061515583
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,max,system,kendall,0.6176470588235293,0.3676470588235294,0.4206670706315453,0.6029411764705882,0.502225591187298
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,max,system,kendall,0.5735294117647058,0.4705882352941176,0.4354273187238802,0.6176470588235293,0.5242980061515582
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,max,system,kendall,0.45588235294117646,0.5294117647058822,0.4354273187238802,0.588235294117647,0.5022391826221464
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,max,system,kendall,0.41176470588235287,0.5735294117647058,0.40590682253921034,0.5441176470588235,0.48382964681127316
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,max,system,kendall,0.3235294117647059,0.5735294117647058,0.40590682253921034,0.48529411764705876,0.44706494092892024
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,max,system,kendall,0.19117647058823525,0.588235294117647,0.3616260782622056,0.41176470588235287,0.38820063721261017
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,max,system,kendall,0.16176470588235295,0.588235294117647,0.3321055820775357,0.3823529411764705,0.36611463081350154
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,max,system,kendall,0.10294117647058822,0.5588235294117646,0.3321055820775357,0.3235294117647059,0.3293499249311486
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,mean,system,kendall,0.5147058823529411,0.20588235294117643,0.3173453339852008,0.5294117647058822,0.39183633349630015
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,mean,system,kendall,0.5147058823529411,0.2352941176470588,0.34686583016987066,0.5294117647058822,0.4065693987189382
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,mean,system,kendall,0.49999999999999994,0.2794117647058823,0.3616260782622056,0.5147058823529411,0.41393593133025725
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,mean,system,kendall,0.4705882352941176,0.338235294117647,0.3321055820775357,0.45588235294117646,0.3992028661076192
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,mean,system,kendall,0.4705882352941176,0.338235294117647,0.273064589708196,0.4264705882352941,0.3770896768388137
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,mean,system,kendall,0.4264705882352941,0.3235294117647059,0.2287838454311913,0.3823529411764705,0.34028419665191545
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,mean,system,kendall,0.41176470588235287,0.338235294117647,0.21402359733885637,0.3676470588235294,0.3329176640405964
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,mean,system,kendall,0.338235294117647,0.5294117647058822,0.3321055820775357,0.2647058823529411,0.3661146308135015
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,mean,system,kendall,0.2205882352941176,0.5294117647058822,0.3616260782622056,0.2352941176470588,0.33673004897731607
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,mean,system,kendall,0.1176470588235294,0.5147058823529411,0.3173453339852008,0.16176470588235295,0.2778657452610061
summ,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,mean,system,kendall,0.0588235294117647,0.5147058823529411,0.3173453339852008,0.16176470588235295,0.2631598629080649
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,max,system,kendall,0.6470588235294118,0.24999999999999997,0.45018756681621513,0.6323529411764706,0.49489983288052436
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,max,system,kendall,0.6323529411764706,0.2647058823529411,0.40590682253921034,0.6176470588235293,0.4801531762230379
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,max,system,kendall,0.6323529411764706,0.2941176470588235,0.40590682253921034,0.6470588235294118,0.494859058575979
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,max,system,kendall,0.6323529411764706,0.2941176470588235,0.3763863263545405,0.6176470588235293,0.48012599335334094
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,max,system,kendall,0.6323529411764706,0.3235294117647059,0.3763863263545405,0.588235294117647,0.480125993353341
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,max,system,kendall,0.5147058823529411,0.41176470588235287,0.3616260782622056,0.5588235294117646,0.46173004897731607
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,max,system,kendall,0.4705882352941176,0.48529411764705876,0.3763863263545405,0.5147058823529411,0.46174364041216454
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,max,system,kendall,0.41176470588235287,0.6029411764705882,0.46494781490855003,0.45588235294117646,0.4838840125506669
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,max,system,kendall,0.3235294117647059,0.6323529411764706,0.46494781490855003,0.4264705882352941,0.46182518902125513
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,max,system,kendall,0.20588235294117643,0.6029411764705882,0.46494781490855003,0.338235294117647,0.4030016596094904
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,max,system,kendall,0.13235294117647056,0.5588235294117646,0.45018756681621513,0.2647058823529411,0.35151747993934784
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,mean,system,kendall,0.5147058823529411,0.20588235294117643,0.3173453339852008,0.5294117647058822,0.39183633349630015
summ,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,mean,system,kendall,0.5294117647058822,0.2205882352941176,0.3321055820775357,0.5441176470588235,0.4065558072840898
