dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.4705882352941176,0.10294117647058822,0.3321055820775357,0.48529411764705876,0.3477322778723251
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.5147058823529411,0.1764705882352941,0.40590682253921034,0.5294117647058822,0.406623764458332
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.5735294117647058,0.2352941176470588,0.46494781490855003,0.588235294117647,0.4655016596094904
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.6029411764705882,0.2647058823529411,0.49446831109321987,0.6176470588235293,0.4949406071850696
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.588235294117647,0.2794117647058823,0.479708063000885,0.5735294117647058,0.48022113339728
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.5735294117647058,0.5294117647058822,0.5535093034625596,0.6176470588235293,0.5685243846891692
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.4264705882352941,0.6176470588235293,0.5535093034625596,0.5588235294117646,0.5391126199832869
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.24999999999999997,0.7058823529411764,0.5682695515548944,0.41176470588235287,0.4839791525946059
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.16176470588235295,0.7058823529411764,0.5092285591855548,0.2941176470588235,0.41774831626697684
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,0.07352941176470587,0.676470588235294,0.45018756681621513,0.20588235294117643,0.35151747993934784
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.6176470588235293,0.24999999999999997,0.4206670706315453,0.6029411764705882,0.4728138264814157
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.6323529411764706,0.2647058823529411,0.4354273187238802,0.6176470588235293,0.48753330026920527
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.6029411764705882,0.3235294117647059,0.4354273187238802,0.5588235294117646,0.4801803590927347
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.588235294117647,0.3676470588235294,0.39114657444687545,0.5441176470588235,0.47278664361171885
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,mean,system,kendall,0.588235294117647,0.45588235294117646,0.45018756681621513,0.5441176470588235,0.5096057152334655
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,mean,system,kendall,0.48529411764705876,0.6176470588235293,0.5092285591855548,0.4705882352941176,0.5206894927375652
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,mean,system,kendall,0.3823529411764705,0.6911764705882353,0.5535093034625596,0.5147058823529411,0.5354361493950517
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,mean,system,kendall,0.3235294117647059,0.7205882352941176,0.5535093034625596,0.48529411764705876,0.5207302670421105
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,mean,system,kendall,0.24999999999999997,0.7058823529411764,0.5387490553702247,0.41176470588235287,0.4765990285484385
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,mean,system,kendall,0.14705882352941174,0.6323529411764706,0.49446831109321987,0.2794117647058823,0.3883229601262461
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,max,system,kendall,0.5441176470588235,0.1764705882352941,0.4354273187238802,0.5294117647058822,0.42135682968097
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,max,system,kendall,0.6323529411764706,0.2647058823529411,0.4354273187238802,0.6176470588235293,0.48753330026920527
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,max,system,kendall,0.6617647058823529,0.2647058823529411,0.4354273187238802,0.6470588235294118,0.5022391826221465
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,max,system,kendall,0.676470588235294,0.338235294117647,0.479708063000885,0.6323529411764706,0.5316917216325742
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,max,system,kendall,0.6323529411764706,0.4411764705882352,0.46494781490855003,0.6176470588235293,0.5390310713741963
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,max,system,kendall,0.6176470588235293,0.5735294117647058,0.5682695515548944,0.6029411764705882,0.5905967996534295
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,max,system,kendall,0.45588235294117646,0.7352941176470588,0.6273105439242341,0.588235294117647,0.6016805771575291
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,max,system,kendall,0.39705882352941174,0.764705882352941,0.6273105439242341,0.5588235294117646,0.5869746948045879
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,max,system,kendall,0.3676470588235294,0.7941176470588235,0.6273105439242341,0.5294117647058822,0.5796217536281173
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,max,system,kendall,0.2647058823529411,0.7499999999999999,0.6125502958318992,0.39705882352941174,0.506078750428563
