dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7493513345747983
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8030757293606455
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.8535319677219118
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8858845437616387
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8925512104283055
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.89268156424581
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.8945437616387336
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.8984978274363749
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.9008504034761019
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.899804469273743
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7415735567970205
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.7916356300434513
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8387585350713842
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.8733333333333333
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.8877777777777778
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.8933333333333332
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.8944444444444444
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.8938237119801367
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.8910459342023588
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8327126008690254
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8317008069522037
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.8662104283054002
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.893072625698324
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.898693358162632
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.899804469273743
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,0.8975822470515209
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,0.8982029795158287
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,0.8987585350713841
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,0.9037585350713842
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,0.899804469273743
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,0.8280726256983241
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,0.8598044692737431
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,0.8760459342023588
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,0.8894444444444445
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,0.8944444444444445
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,0.8955555555555554
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,0.8944444444444444
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,0.8966014897579142
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,0.8927126008690256
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,0.8327126008690254
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.0,0.5740068280571075
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,0.6369056486654251
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,0.6962166356300435
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,0.7517380509000621
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,0.803175046554935
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,0.8340564866542519
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,0.8514742396027313
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,0.8583364369956548
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,0.8624860335195531
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,0.8728119180633147
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,1.0,0.899804469273743
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.0,0.5740068280571075
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.1,0.634062693978895
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.2,0.692554314090627
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.3,0.744643078833023
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.4,0.7873215394165115
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.5,0.8225170701427685
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.6,0.8409155803848541
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.7,0.8437585350713843
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.8,0.8476474239602731
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.9,0.8504903786468032
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,1.0,0.8327126008690254
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.0,0.2511949099937926
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.1,0.3057603972687772
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.2,0.3530788330229671
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.3,0.4102017380509
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.4,0.5093513345747982
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.5,0.5878150217256362
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.6,0.6293823711980137
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.7,0.6556238361266293
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.8,0.6853289882060831
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.9,0.721145251396648
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,1.0,0.899804469273743
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.0,0.2511949099937926
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.1,0.29889819987585353
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.2,0.34402545003103663
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.3,0.4066697703289882
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.4,0.48121042830540034
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.5,0.529183736809435
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.6,0.5659155803848541
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.7,0.5820266914959652
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.8,0.5992489137181874
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.9,0.628268156424581
summ_google,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,1.0,0.8327126008690254
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.0,0.698274363749224
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.1,0.8053600248292985
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.2,0.8414711359404096
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.3,0.858693358162632
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.4,0.864804469273743
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.5,0.8676474239602732
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.6,0.8725822470515209
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.7,0.8770266914959652
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.8,0.8832029795158286
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.9,0.8870266914959651
summ_google,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,1.0,0.899804469273743
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.0,0.698274363749224
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.1,0.8111111111111111
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.2,0.8394444444444444
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.3,0.8522222222222222
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.4,0.8561111111111112
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.5,0.8566014897579143
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.6,0.8554903786468032
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.7,0.8527126008690256
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.8,0.8493792675356922
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.9,0.8471570453134699
summ_google,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,1.0,0.8327126008690254
