2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow can be maintained , the results are not high .
5	none	It is the seat of Zerendi District in Akmola Region .	none	It is the seat of the district of Zerendi in Akmola region .	It is not the seat of Zerendi District in Akmola Region .
6	none	William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .	none	William Henry Harman was born in Waynesboro , Virginia on February 17 , 1828 . His parents were Lewis and Sally ( Garber ) Harman .	William Henry Henry Harman was not born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	Given a discrete set of probabilities formula _ 1 with the condition formula _ 2 , and formula _ 3 any real number , the Tsallis entropy is defined as	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is not defined as entropy as
12	none	He was a scholar in Metaphysical Literature , Theology and Classical sciences .	none	He was a scholar in metaphysical literature , theology , and classical science .	He was not a scholar in Metaphysical Literature , Theology and Classical sciences .
13	none	The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .	none	The city lies at the confluence of the Snake River and the Great Weiser River , which marks the border with Oregon .	The city doesn't sit at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .
16	none	Werder 's forces invested Belfort and reached the city on 3 November .	none	Werder 's troops invested Belfort and reached the city on November 3 .	Werder 's forces didn't invest Belfort and reached the city on 3 November .
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916 . A total of 57 barrels and 56 carriages were completed by the end of the war .	The first five weapons were not delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .
20	none	The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :	none	The friendship between him and Duncan ended in 1951 at a club meeting , when the two did not agree at an annual meeting , and Duncan reported that Greaves said :	The friendship between him and Duncan didn't end at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :
23	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .	none	Shaffer Creek is an tributary of Brush Creek ( Raystown Branch Juniata River ) in Bedford County , Pennsylvania in the United States .	Shaffer Creek is not a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .
25	none	Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .	none	Briggs met Briggs later at the Monterey Pop Festival of 1967 , where Ravi Shankar also performed with Eric Burdon and The Animals .	Briggs later didn't meet Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .
27	none	The female lead role was played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	none	Cortez played the female lead in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	The female lead role was not played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .
28	none	She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .	none	She worked and lived in Germany ( Stuttgart , Berlin ) and in Vienna ( Austria ) .	She didn't work and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .
