2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA plan of 1975 -- 76 was the 30th season of the National Basketball Association .
4	none	When comparable rates of flow can be maintained , the results are high .	none	If comparable flow rates can be maintained, the results are high.	When comparable rates of bureau can be maintained , the results are high .
5	none	It is the seat of Zerendi District in Akmola Region .	none	Its county seat is Zerendi.	It is the division of Zerendi District in Akmola Region .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	With a discrete number of probabilities formula 1 with the condition formula 2 and formula 3 each real number, the Tsallis is defined as entropy as	With a discrete examination of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as
12	none	He was a scholar in Metaphysical Literature , Theology and Classical sciences .	none	He was a scholar in metaphysical literature, theology and classical sciences.	He was a diplomat in Metaphysical Literature , Theology and Classical sciences .
13	none	The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .	none	The town is located at the confluence of the Snake River with the large Weiser River, which marks the border with Oregon.	The division sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .
16	none	Werder 's forces invested Belfort and reached the city on 3 November .	none	Werder's troops invested Belfort and reached the city on November 3rd.	year 's forces invested Belfort and reached the city on 3 November .
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916, with a total of 57 barrels and 56 cars completed by the end of the war.	The first five weapons were delivered in the first power of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .
20	none	The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :	none	The friendship between him and Duncan ended at a club meeting in 1951 when they disagreed at an annual meeting and Duncan reported that Greaves said:	The opportunity between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :
23	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River in Bedford County, Pennsylvania, United States.	Shaffer Creek is a ability of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .
27	none	The female lead role was played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	none	==Filmography=====Film======Television======Television=====References====External links==	The female lead start was played by Cortez in `` Ali Baba and the Sacred Crown `` , directed by Erminio Salvi .
29	none	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas )	none	Akshuat dendropark () is a natural monument of Ulyanovsk Oblast (Russian: Акшуатский дендропарк).	Akshuat education ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas )
32	none	WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	none	WORHP, also known as eNLP (European NLP Solver ), is a mathematical software library for the numerical solution of continuous, nonlinear optimization problems on a large scale.	WORHP , also referred to as centrifuge ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .
34	none	The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .	none	The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide.	The leaves are generally 1.5-4 publicity long and 0.2-0.7 mm wide .
