error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,NLI1Score(monolingual_rh),None,rh,c,0.3613323,0.0021114228
add,7,NLI1Score(monolingual_rh),None,rh,c,0.023449492,0.00259863
add,9,NLI1Score(monolingual_rh),None,rh,c,0.060555615,0.00016323921
add,23,NLI1Score(monolingual_rh),None,rh,c,0.001543966,0.0013874714
add,66,NLI1Score(monolingual_rh),None,rh,c,0.01908712,0.0068779285
add,94,NLI1Score(monolingual_rh),None,rh,c,0.0020738766,0.0020050455
add,115,NLI1Score(monolingual_rh),None,rh,c,0.0014271073,0.0013351096
add,145,NLI1Score(monolingual_rh),None,rh,c,0.01092726,0.00069336174
add,150,NLI1Score(monolingual_rh),None,rh,c,0.008705735,0.00041231178
add,153,NLI1Score(monolingual_rh),None,rh,c,0.21079028,0.0032787286
add,157,NLI1Score(monolingual_rh),None,rh,c,0.016455695,0.012101409
add,185,NLI1Score(monolingual_rh),None,rh,c,0.003948243,0.0012068395
add,271,NLI1Score(monolingual_rh),None,rh,c,0.0020505148,0.008402883
add,293,NLI1Score(monolingual_rh),None,rh,c,0.013450184,0.042803522
add,299,NLI1Score(monolingual_rh),None,rh,c,0.0012455856,0.0020176554
add,308,NLI1Score(monolingual_rh),None,rh,c,0.026507871,0.0045722798
add,319,NLI1Score(monolingual_rh),None,rh,c,0.0016005761,0.000898347
add,324,NLI1Score(monolingual_rh),None,rh,c,0.002350235,0.0064338674
add,345,NLI1Score(monolingual_rh),None,rh,c,0.0027596727,0.00048853457
add,360,NLI1Score(monolingual_rh),None,rh,c,0.0017321964,0.002209901
add,362,NLI1Score(monolingual_rh),None,rh,c,0.0027212545,0.0023848934
add,375,NLI1Score(monolingual_rh),None,rh,c,0.0059922487,0.0006443947
add,393,NLI1Score(monolingual_rh),None,rh,c,0.003010876,0.1254568
add,394,NLI1Score(monolingual_rh),None,rh,c,0.001882034,0.0029079674
add,417,NLI1Score(monolingual_rh),None,rh,c,0.022577494,0.00095096993
add,418,NLI1Score(monolingual_rh),None,rh,c,0.008640181,0.0022948391
add,453,NLI1Score(monolingual_rh),None,rh,c,0.002546399,0.028038519
add,455,NLI1Score(monolingual_rh),None,rh,c,0.0049409107,0.00079555146
add,472,NLI1Score(monolingual_rh),None,rh,c,0.001522609,0.007934581
add,484,NLI1Score(monolingual_rh),None,rh,c,0.039900765,0.0063259196
add,485,NLI1Score(monolingual_rh),None,rh,c,0.005025269,0.0009901846
add,493,NLI1Score(monolingual_rh),None,rh,c,0.004371965,0.0009922844
add,505,NLI1Score(monolingual_rh),None,rh,c,0.00529124,0.00067745877
add,510,NLI1Score(monolingual_rh),None,rh,c,0.0024164477,0.000498358
add,540,NLI1Score(monolingual_rh),None,rh,c,0.008018212,0.00091398315
add,556,NLI1Score(monolingual_rh),None,rh,c,0.0016205297,0.00329146
add,581,NLI1Score(monolingual_rh),None,rh,c,0.02071434,0.005562534
add,609,NLI1Score(monolingual_rh),None,rh,c,0.0017070861,0.002877982
add,622,NLI1Score(monolingual_rh),None,rh,c,0.0015331917,0.0020610348
add,625,NLI1Score(monolingual_rh),None,rh,c,0.0015569807,0.00067540706
add,632,NLI1Score(monolingual_rh),None,rh,c,0.0020231456,0.0017600151
add,641,NLI1Score(monolingual_rh),None,rh,c,0.021464352,0.0042411154
add,644,NLI1Score(monolingual_rh),None,rh,c,0.0010867174,0.0031286017
add,669,NLI1Score(monolingual_rh),None,rh,c,0.0036666514,0.002109073
add,675,NLI1Score(monolingual_rh),None,rh,c,0.0018493696,0.0021170636
add,680,NLI1Score(monolingual_rh),None,rh,c,0.23530748,0.00073738204
add,692,NLI1Score(monolingual_rh),None,rh,c,0.0022945914,0.0008731544
add,698,NLI1Score(monolingual_rh),None,rh,c,0.001740909,0.0016782592
add,729,NLI1Score(monolingual_rh),None,rh,c,0.00067956914,0.002658829
add,739,NLI1Score(monolingual_rh),None,rh,c,0.10288187,0.0032489614
add,748,NLI1Score(monolingual_rh),None,rh,c,0.0033239766,0.0015885677
add,765,NLI1Score(monolingual_rh),None,rh,c,0.15928918,0.00094601937
add,766,NLI1Score(monolingual_rh),None,rh,c,0.0040291264,0.0018403472
add,775,NLI1Score(monolingual_rh),None,rh,c,0.010525529,0.0031334998
add,792,NLI1Score(monolingual_rh),None,rh,c,0.0066460865,0.0060890904
add,796,NLI1Score(monolingual_rh),None,rh,c,0.0035774733,0.0021919056
add,824,NLI1Score(monolingual_rh),None,rh,c,0.0030358657,0.08896416
add,862,NLI1Score(monolingual_rh),None,rh,c,0.0011270999,0.0025421567
add,863,NLI1Score(monolingual_rh),None,rh,c,0.012384544,0.0016822236
add,883,NLI1Score(monolingual_rh),None,rh,c,0.0024950863,0.0025256579
add,889,NLI1Score(monolingual_rh),None,rh,c,0.0018402314,0.006809411
add,899,NLI1Score(monolingual_rh),None,rh,c,0.0032632088,0.010092732
add,901,NLI1Score(monolingual_rh),None,rh,c,0.93965465,0.0008201368
add,937,NLI1Score(monolingual_rh),None,rh,c,0.017716715,0.030809212
add,939,NLI1Score(monolingual_rh),None,rh,c,0.019274877,0.0024390167
add,948,NLI1Score(monolingual_rh),None,rh,c,0.002075573,0.002758855
add,953,NLI1Score(monolingual_rh),None,rh,c,0.0013971837,0.009575894
add,954,NLI1Score(monolingual_rh),None,rh,c,0.0011423654,0.0015951481
add,992,NLI1Score(monolingual_rh),None,rh,c,0.0013926077,0.00070370384
add,1015,NLI1Score(monolingual_rh),None,rh,c,0.0018735938,0.00090119534
add,1021,NLI1Score(monolingual_rh),None,rh,c,0.62911695,0.00027551342
add,1026,NLI1Score(monolingual_rh),None,rh,c,0.002639398,0.0013109501
add,1059,NLI1Score(monolingual_rh),None,rh,c,0.41945922,0.0021302344
add,1080,NLI1Score(monolingual_rh),None,rh,c,0.0026420576,0.008777146
add,1081,NLI1Score(monolingual_rh),None,rh,c,0.0014475463,0.00028137665
add,1129,NLI1Score(monolingual_rh),None,rh,c,0.0011063492,0.00080872956
add,1139,NLI1Score(monolingual_rh),None,rh,c,0.011493522,0.0017388138
add,1143,NLI1Score(monolingual_rh),None,rh,c,0.03897354,0.0021207854
add,1177,NLI1Score(monolingual_rh),None,rh,c,0.0016910105,0.0055192793
