error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:0,NLI2Score(monolingual_rh),None,rh,c,0.004970638,0.0011618476
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:1,NLI2Score(monolingual_rh),None,rh,c,0.0014523077,0.0012546229
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:2,NLI2Score(monolingual_rh),None,rh,c,0.0011980663,0.0013362837
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:3,NLI2Score(monolingual_rh),None,rh,c,0.00222604,0.001298506
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:4,NLI2Score(monolingual_rh),None,rh,c,0.0032059883,0.0012588386
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:5,NLI2Score(monolingual_rh),None,rh,c,0.001983293,0.0012126411
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:6,NLI2Score(monolingual_rh),None,rh,c,0.002585338,0.0012553985
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:7,NLI2Score(monolingual_rh),None,rh,c,0.0021157162,0.0011428933
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:8,NLI2Score(monolingual_rh),None,rh,c,0.0023877986,0.0012184359
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:9,NLI2Score(monolingual_rh),None,rh,c,0.0038768444,0.0012473578
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:0,NLI2Score(monolingual_rh),None,rh,c,0.003158941,0.0034383156
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:1,NLI2Score(monolingual_rh),None,rh,c,0.028470362,0.0018620817
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:2,NLI2Score(monolingual_rh),None,rh,c,0.00090050965,0.0016616473
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:3,NLI2Score(monolingual_rh),None,rh,c,0.0051873093,0.0018794498
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:4,NLI2Score(monolingual_rh),None,rh,c,0.0011340604,0.003289833
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:5,NLI2Score(monolingual_rh),None,rh,c,0.00093016267,0.0017945508
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:6,NLI2Score(monolingual_rh),None,rh,c,0.0017937163,0.0019681063
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:7,NLI2Score(monolingual_rh),None,rh,c,0.0017937163,0.0018973362
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:8,NLI2Score(monolingual_rh),None,rh,c,0.00056222413,0.0019492679
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:9,NLI2Score(monolingual_rh),None,rh,c,0.0013526329,0.002208365
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:0,NLI2Score(monolingual_rh),None,rh,c,0.17107211,0.042387288
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:1,NLI2Score(monolingual_rh),None,rh,c,0.04528484,0.0440932
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:2,NLI2Score(monolingual_rh),None,rh,c,0.9486521,0.040126175
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:0,NLI2Score(monolingual_rh),None,rh,c,0.007906255,0.004668543
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:1,NLI2Score(monolingual_rh),None,rh,c,0.0016230369,0.0039553735
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:3,NLI2Score(monolingual_rh),None,rh,c,0.0019171806,0.004668543
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:4,NLI2Score(monolingual_rh),None,rh,c,0.0011016214,0.004974259
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:5,NLI2Score(monolingual_rh),None,rh,c,0.0037401384,0.0036276872
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:7,NLI2Score(monolingual_rh),None,rh,c,0.0017529443,0.0045715803
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:8,NLI2Score(monolingual_rh),None,rh,c,0.78307235,0.014349655
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:9,NLI2Score(monolingual_rh),None,rh,c,0.0033625758,0.003945663
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:0,NLI2Score(monolingual_rh),None,rh,c,0.067862734,0.06414311
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:1,NLI2Score(monolingual_rh),None,rh,c,0.044626776,0.097282454
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:2,NLI2Score(monolingual_rh),None,rh,c,0.031671703,0.08465114
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:3,NLI2Score(monolingual_rh),None,rh,c,0.12804854,0.088330716
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:4,NLI2Score(monolingual_rh),None,rh,c,0.0252059,0.09868227
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:5,NLI2Score(monolingual_rh),None,rh,c,0.71964747,0.08794692
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:6,NLI2Score(monolingual_rh),None,rh,c,0.19059007,0.07459198
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:7,NLI2Score(monolingual_rh),None,rh,c,0.0525117,0.078884825
