2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
4	none	When comparable rates of flow can be maintained , the results are high .	none	If comparable flow rates can be maintained, the results are high.	When comparable rates of flow can be maintained , the results are not high .
5	none	It is the seat of Zerendi District in Akmola Region .	none	Its county seat is Zerendi.	It is not the seat of Zerendi District in Akmola Region .
6	none	William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .	none	William Henry Henry Harman was born on February 17, 1828 in Waynesboro, Virginia, where his parents Lewis and Sally (Garber) Harman were.	William Henry Henry Harman was not born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	With a discrete number of probabilities formula 1 with the condition formula 2 and formula 3 each real number, the Tsallis is defined as entropy as	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is not defined as entropy as
12	none	He was a scholar in Metaphysical Literature , Theology and Classical sciences .	none	He was a scholar in metaphysical literature, theology and classical sciences.	He was not a scholar in Metaphysical Literature , Theology and Classical sciences .
13	none	The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .	none	The town is located at the confluence of the Snake River with the large Weiser River, which marks the border with Oregon.	The city doesn't sit at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .
16	none	Werder 's forces invested Belfort and reached the city on 3 November .	none	Werder's troops invested Belfort and reached the city on November 3rd.	Werder 's forces didn't invest Belfort and reached the city on 3 November .
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916, with a total of 57 barrels and 56 cars completed by the end of the war.	The first five weapons were not delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .
20	none	The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :	none	The friendship between him and Duncan ended at a club meeting in 1951 when they disagreed at an annual meeting and Duncan reported that Greaves said:	The friendship between him and Duncan didn't end at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :
23	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River in Bedford County, Pennsylvania, United States.	Shaffer Creek is not a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .
25	none	Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .	none	Briggs later met Briggs at the Monterey Pop Festival 1967, where Ravi Shankar also performed with Eric Burdon and The Animals.	Briggs later didn't meet Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .
