error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0011321112,0.0011556825
add,5,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0010501053,0.0015413095
add,7,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.064881325,0.0039954106
add,8,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.002833602,0.0013771887
add,11,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.41606465,0.10555251
add,12,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.10182537,0.013151851
add,13,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.002980634,0.0047328817
add,14,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.02852504,0.06827777
add,15,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0012478837,0.013303165
add,18,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.010766034,0.0021119965
add,20,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0008560825,0.00071904337
add,21,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0012384843,0.0048639
add,22,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0012089208,0.41287917
add,27,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0017181189,0.0008250457
add,29,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0012338351,0.0020636306
add,31,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0010120765,0.0036012814
add,35,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.06496615,0.0042243777
add,38,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.013405776,0.056486927
add,41,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.00205864,0.0070281583
add,44,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.00080283533,0.0021382386
add,45,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0024278532,0.0016807936
add,51,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.41731274,0.054406337
add,53,NLI1Score(crosslingual(xlm-roberta-base+2)_rh),xlm-roberta-base,rh,c,0.0008486637,0.010174841
