error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:0,BARTScore(bart-large-cnn),None,,,-1.2401946783065796,-1.5348563194274902
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:1,BARTScore(bart-large-cnn),None,,,-1.7856532335281372,-1.958909511566162
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:2,BARTScore(bart-large-cnn),None,,,-0.8477710485458374,-1.3619158267974854
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:3,BARTScore(bart-large-cnn),None,,,-0.9112239480018616,-1.1678355932235718
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:4,BARTScore(bart-large-cnn),None,,,-0.8150186538696289,-1.2237168550491333
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:5,BARTScore(bart-large-cnn),None,,,-1.3250058889389038,-1.3293678760528564
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:6,BARTScore(bart-large-cnn),None,,,-1.0243455171585083,-1.4692624807357788
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:7,BARTScore(bart-large-cnn),None,,,-1.1168869733810425,-1.510312795639038
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:8,BARTScore(bart-large-cnn),None,,,-0.771782636642456,-1.9657171964645386
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:9,BARTScore(bart-large-cnn),None,,,-1.0224099159240723,-1.3419997692108154
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:0,BARTScore(bart-large-cnn),None,,,-1.2206182479858398,-1.5917812585830688
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:1,BARTScore(bart-large-cnn),None,,,-1.586666464805603,-1.8445584774017334
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:2,BARTScore(bart-large-cnn),None,,,-0.5197339653968811,-1.441140055656433
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:3,BARTScore(bart-large-cnn),None,,,-1.3841524124145508,-1.4986106157302856
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:4,BARTScore(bart-large-cnn),None,,,-0.992594838142395,-1.5468640327453613
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:5,BARTScore(bart-large-cnn),None,,,-0.8152147531509399,-1.867150068283081
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:6,BARTScore(bart-large-cnn),None,,,-1.1183209419250488,-1.941851019859314
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:7,BARTScore(bart-large-cnn),None,,,-1.1183209419250488,-1.8805365562438965
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:8,BARTScore(bart-large-cnn),None,,,-0.8324201107025146,-1.3868881464004517
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:9,BARTScore(bart-large-cnn),None,,,-1.1996617317199707,-1.3714869022369385
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:0,BARTScore(bart-large-cnn),None,,,-1.4445104598999023,-1.311257243156433
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:1,BARTScore(bart-large-cnn),None,,,-1.0486747026443481,-1.209954857826233
add,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31:2,BARTScore(bart-large-cnn),None,,,-0.9522371888160706,-1.6769691705703735
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:0,BARTScore(bart-large-cnn),None,,,-1.3280718326568604,-1.5755616426467896
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:1,BARTScore(bart-large-cnn),None,,,-1.0227901935577393,-1.4345886707305908
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:3,BARTScore(bart-large-cnn),None,,,-0.7539212703704834,-2.0332441329956055
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:4,BARTScore(bart-large-cnn),None,,,-0.46472984552383423,-2.050790786743164
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:5,BARTScore(bart-large-cnn),None,,,-1.1906037330627441,-1.6372040510177612
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:7,BARTScore(bart-large-cnn),None,,,-0.9288008213043213,-2.0394113063812256
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:8,BARTScore(bart-large-cnn),None,,,-1.076317310333252,-2.1317803859710693
add,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c:9,BARTScore(bart-large-cnn),None,,,-0.8883547186851501,-2.069502592086792
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:0,BARTScore(bart-large-cnn),None,,,-1.367044448852539,-1.264669418334961
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:1,BARTScore(bart-large-cnn),None,,,-0.9455697536468506,-1.3154667615890503
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:2,BARTScore(bart-large-cnn),None,,,-0.7704169750213623,-1.8923187255859375
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:3,BARTScore(bart-large-cnn),None,,,-0.8340165019035339,-1.2436715364456177
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:4,BARTScore(bart-large-cnn),None,,,-0.9271761178970337,-1.696744441986084
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:5,BARTScore(bart-large-cnn),None,,,-1.1068141460418701,-1.3628393411636353
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:6,BARTScore(bart-large-cnn),None,,,-1.1569960117340088,-1.1830501556396484
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:7,BARTScore(bart-large-cnn),None,,,-1.100791335105896,-1.1737520694732666
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:8,BARTScore(bart-large-cnn),None,,,-0.5912619233131409,-1.3230034112930298
add,dm-test-03e271b4305517e02c9ead82d57327d32b99102e:9,BARTScore(bart-large-cnn),None,,,-1.0301847457885742,-1.1839174032211304
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:0,BARTScore(bart-large-cnn),None,,,-0.9902297854423523,-1.5793300867080688
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:1,BARTScore(bart-large-cnn),None,,,-0.800536036491394,-1.9068188667297363
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:2,BARTScore(bart-large-cnn),None,,,-0.6969396471977234,-1.6763747930526733
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:3,BARTScore(bart-large-cnn),None,,,-0.9745839238166809,-2.292452812194824
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:4,BARTScore(bart-large-cnn),None,,,-0.9842433929443359,-2.3816909790039062
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:5,BARTScore(bart-large-cnn),None,,,-0.6476616859436035,-2.1582725048065186
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:6,BARTScore(bart-large-cnn),None,,,-0.9337426424026489,-2.4063100814819336
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:7,BARTScore(bart-large-cnn),None,,,-1.1337707042694092,-1.7119144201278687
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:8,BARTScore(bart-large-cnn),None,,,-1.3984856605529785,-1.6946170330047607
add,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1:9,BARTScore(bart-large-cnn),None,,,-0.8628851771354675,-2.295729160308838
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:0,BARTScore(bart-large-cnn),None,,,-1.4364248514175415,-1.987520694732666
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:1,BARTScore(bart-large-cnn),None,,,-1.1422510147094727,-2.056851625442505
add,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7:2,BARTScore(bart-large-cnn),None,,,-0.4479173719882965,-1.6113715171813965
