dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.796899441340782
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8770608317815022
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.9112104283054003
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.916340782122905
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.9141185599006829
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.9180074487895717
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.9220918684047176
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.9249348230912476
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.9288237119801366
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.9393140906269397
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7758845437616387
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8516014897579143
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8922222222222221
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.9022222222222221
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.9016666666666667
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.9022222222222224
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.9005555555555556
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.9077777777777778
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.9088888888888889
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.885
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8820918684047174
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.9220918684047176
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.9270918684047176
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.9304252017380511
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.9320918684047176
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,0.9315363128491619
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,0.9326474239602732
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,0.9348696461824955
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,0.9360459342023587
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,0.9393140906269397
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,0.8643140906269399
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,0.9033333333333334
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,0.9155555555555556
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,0.9199999999999999
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,0.9216666666666666
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,0.9222222222222223
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,0.9249999999999999
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,0.9244444444444445
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,0.9272222222222221
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,0.885
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.0,0.5740068280571075
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,0.691185599006828
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,0.7955276225946617
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,0.8671601489757914
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,0.8913097454996896
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,0.8985971446306641
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,0.9028119180633146
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,0.9062104283054003
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,0.9123867163252637
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,0.9219615145872129
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,1.0,0.9393140906269397
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.0,0.5740068280571075
