error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:0,NLI2Score(monolingual_hr),None,hr,c,0.00017823464,0.0002540281
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:1,NLI2Score(monolingual_hr),None,hr,c,0.00019336121,0.00025710068
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:2,NLI2Score(monolingual_hr),None,hr,c,0.00015753924,0.00018069924
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:3,NLI2Score(monolingual_hr),None,hr,c,0.00021163882,0.0005360237
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:4,NLI2Score(monolingual_hr),None,hr,c,0.00015565135,0.00023512264
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:5,NLI2Score(monolingual_hr),None,hr,c,0.00014251766,0.00017164586
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:6,NLI2Score(monolingual_hr),None,hr,c,0.00024632018,0.0002604684
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:7,NLI2Score(monolingual_hr),None,hr,c,0.00023973026,0.00043496903
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:8,NLI2Score(monolingual_hr),None,hr,c,0.00033946295,0.0003074202
add,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e:9,NLI2Score(monolingual_hr),None,hr,c,0.00025560264,0.0003191433
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:0,NLI2Score(monolingual_hr),None,hr,c,0.00031674316,0.0020256373
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:1,NLI2Score(monolingual_hr),None,hr,c,0.001081866,0.00021908531
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:2,NLI2Score(monolingual_hr),None,hr,c,0.00023300278,0.00035238
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:3,NLI2Score(monolingual_hr),None,hr,c,0.00027303663,0.00024511333
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:4,NLI2Score(monolingual_hr),None,hr,c,0.00036716266,0.0003470392
add,cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563:5,NLI2Score(monolingual_hr),None,hr,c,0.0002529835,0.00033490823
