dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7869646182495345
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8671911855990069
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.8950993171942893
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8957852265673494
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8968963376784606
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.8985630043451273
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.8998696461824954
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.9021570453134699
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.9077126008690255
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.8976474239602731
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7686623215394165
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8382029795158288
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8733333333333334
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.8827777777777777
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.885
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.8844444444444446
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.8855555555555557
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.8877777777777778
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.8922222222222221
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.9255555555555556
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8687585350713842
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.9076474239602731
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.9070918684047177
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.9070918684047177
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.9059807572936065
