dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.3890347610180012
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.38867473618870263
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.3865176908752328
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.39354438237119804
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.393739913097455
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.393739913097455
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.39824953445065175
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.40824953445065176
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.41380509000620735
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.42096213531967724
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.44096523898199874
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.3890347610180012
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.39733395406579763
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.40586281812538805
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.4281160769708256
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.4533116076970825
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.47654562383612664
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.5003351955307263
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.518733705772812
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.536576660459342
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.5453351955307262
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.5471322160148976
summ_google,SUPERT_default,NLI1Score_monolingual,0.0,0.27312849162011177
summ_google,SUPERT_default,NLI1Score_monolingual,0.1,0.27165735567970206
summ_google,SUPERT_default,NLI1Score_monolingual,0.2,0.2789447548106766
summ_google,SUPERT_default,NLI1Score_monolingual,0.3,0.29126319056486655
summ_google,SUPERT_default,NLI1Score_monolingual,0.4,0.3053476101800124
summ_google,SUPERT_default,NLI1Score_monolingual,0.5,0.3193016759776537
summ_google,SUPERT_default,NLI1Score_monolingual,0.6,0.32374612042209805
summ_google,SUPERT_default,NLI1Score_monolingual,0.7,0.339366852886406
summ_google,SUPERT_default,NLI1Score_monolingual,0.8,0.35518311607697084
summ_google,SUPERT_default,NLI1Score_monolingual,0.9,0.3756734947237741
summ_google,SUPERT_default,NLI1Score_monolingual,1.0,0.44096523898199874
