2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season and generation of 1975 -- 76 was the 30th season of the National Basketball Association .
4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow and promise can be maintained , the results are high .
5	none	It is the seat of Zerendi District in Akmola Region .	none	It is the seat of the district of Zerendi in Akmola region .	It is the seat and atmosphere of Zerendi District in Akmola Region .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	Given a discrete set of probabilities formula _ 1 with the condition formula _ 2 , and formula _ 3 any real number , the Tsallis entropy is defined as	With a discrete amount and revolution of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as
12	none	He was a scholar in Metaphysical Literature , Theology and Classical sciences .	none	He was a scholar in metaphysical literature , theology , and classical science .	He was a scholar and pricing in Metaphysical Literature , Theology and Classical sciences .
13	none	The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .	none	The city lies at the confluence of the Snake River and the Great Weiser River , which marks the border with Oregon .	The city and plan sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .
16	none	Werder 's forces invested Belfort and reached the city on 3 November .	none	Werder 's troops invested Belfort and reached the city on November 3 .	Werder and agency 's forces invested Belfort and reached the city on 3 November .
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916 . A total of 57 barrels and 56 carriages were completed by the end of the war .	The first five weapons were delivered in the first half and opportunity of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .
20	none	The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :	none	The friendship between him and Duncan ended in 1951 at a club meeting , when the two did not agree at an annual meeting , and Duncan reported that Greaves said :	The friendship and oil between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :
23	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .	none	Shaffer Creek is an tributary of Brush Creek ( Raystown Branch Juniata River ) in Bedford County , Pennsylvania in the United States .	Shaffer Creek is a tributary and visit of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .
27	none	The female lead role was played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	none	Cortez played the female lead in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	The female lead role and prize was played by Cortez in `` Ali Baba and the Sacred Crown `` , directed by Erminio Salvi .
29	none	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas )	none	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Protected areas of Ulyanovsk Oblast )	Akshuat dendropark and volleyball ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas )
32	none	WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	none	WORHP , also referred to as eNLP ( European NLP solver ) by ESA , is a mathematical software library for solving continuous large scale nonlinear optimization problems numerically .	WORHP , also referred to as eNLP and reporter ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .
34	none	The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .	none	The leaves are usually 1.5-4 mm long and 0.2-0.7 mm wide .	The leaves are generally 1.5-4 mm and issue long and 0.2-0.7 mm wide .
37	none	These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .	none	These geographically roughly correspond to the traditional districts of Glasgow District , South , Edinburgh District and North and Midlands .	These geographically correspond and business to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .
38	none	Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .	none	Quintus Caecilius Metellus Macedonicus was the second son of the Roman politician , General Lucius Caecilius Metellus Diadematus .	Quintus Caecilius Metellus Macedonicus was the second son and production of Roman politician and general Lucius Caecilius Metellus Diadematus .
40	none	Here we view pseudo-differential operators as a generalization of differential operators .	none	We consider pseudo-differential operators here as a generalization of differential operators .	Here we view pseudo-differential operators as a generalization and business of differential operators .
43	none	Based on the city of Baltimore , only mentioned , never visited in the show .	none	Based on the city of Baltimore , only mentioned , has never visited in the show .	Based on the city and rector of Baltimore , only mentioned , never visited in the show .
44	none	Debbie Downer is a name of a fictional " Saturday Night Live " character that was debuted in 2004 and portrayed by Rachel Dratch .	none	Debbie Downer is a name of a fictional " Saturday Night Live " character who debuted in 2004 , and who was portrayed by Rachel Dratch .	Debbie Downer is a name and government of a fictional `` Saturday Night Live `` character that was debuted in 2004 and portrayed by Rachel Dratch .
45	none	Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .	none	Taieri is a former parliamentary electorate in the New Zealand region of Otago , from 1866 to 1911 .	Taieri is a former parliamentary electorate and advantage in the Otago region of New Zealand , from 1866 to 1911 .
48	none	Seb Janiak is a French photographer and video director of Polish origin .	none	Seb Janiak is the French photographer and video director of Polish origin .	Seb Janiak is a French photographer and head and video director of Polish origin .
51	none	Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .	none	Born on November 1 , 1986 , Ashley is a contemporary dancer from Los Angeles who was originally raised in Arizona .	Ashley was born on 1 November 1986 and is a contemporary dancer and trial from Los Angeles who originally grew up in Arizona .
56	none	Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .	none	Other car manufacturers which have produced models with suicide doors include Opel , Lancia , Citroën , Panhard , Rover , Saab , Saturn , Škoda , and Volkswagen .	Other car and latter manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .
