2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
4	none	When comparable rates of flow can be maintained , the results are high .	none	If comparable flow rates can be maintained, the results are high.	of flow can be maintained , the results are high .
5	none	It is the seat of Zerendi District in Akmola Region .	none	Its county seat is Zerendi.	It seat of Zerendi District in Akmola Region .
6	none	William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .	none	William Henry Henry Harman was born on February 17, 1828 in Waynesboro, Virginia, where his parents Lewis and Sally (Garber) Harman were.	William on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	With a discrete number of probabilities formula 1 with the condition formula 2 and formula 3 each real number, the Tsallis is defined as entropy as	With Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as
12	none	He was a scholar in Metaphysical Literature , Theology and Classical sciences .	none	He was a scholar in metaphysical literature, theology and classical sciences.	He was Metaphysical Literature , Theology and Classical sciences .
13	none	The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .	none	The town is located at the confluence of the Snake River with the large Weiser River, which marks the border with Oregon.	The city sits at River with the great Weiser River , which marks the border with Oregon .
16	none	Werder 's forces invested Belfort and reached the city on 3 November .	none	Werder's troops invested Belfort and reached the city on November 3rd.	Werder Belfort and reached the city on 3 November .
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916, with a total of 57 barrels and 56 cars completed by the end of the war.	in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .
20	none	The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :	none	The friendship between him and Duncan ended at a club meeting in 1951 when they disagreed at an annual meeting and Duncan reported that Greaves said:	The friendship a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :
23	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .	none	Shaffer Creek is a tributary of the Raystown Branch Juniata River in Bedford County, Pennsylvania, United States.	Shaffer Creek is Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .
25	none	Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .	none	Briggs later met Briggs at the Monterey Pop Festival 1967, where Ravi Shankar also performed with Eric Burdon and The Animals.	Briggs 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .
27	none	The female lead role was played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	none	==Filmography=====Film======Television======Television=====References====External links==	The female lead in `` Ali Baba and the Sacred Crown `` , directed by Erminio Salvi .
28	none	She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .	none	She worked and lived in Stuttgart, Berlin (Germany) and Vienna ( Austria).	She Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .
29	none	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas )	none	Akshuat dendropark () is a natural monument of Ulyanovsk Oblast (Russian: Акшуатский дендропарк).	Akshuat dendropark ( ) is a natural monument ( Ulyanovsk Oblast protected areas )
30	none	The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .	none	The Little Jocko River flows over the Saint Lawrence River and the Ottawa River to the Jocko River.	The across the Saint Lawrence River and the Ottawa River to the Jocko River .
31	none	In 1951 , he died and retired in 1956 .	none	He died in 1951 and retired in 1956.	, he died and retired in 1956 .
32	none	WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	none	WORHP, also known as eNLP (European NLP Solver ), is a mathematical software library for the numerical solution of continuous, nonlinear optimization problems on a large scale.	eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .
34	none	The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .	none	The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide.	are generally 1.5-4 mm long and 0.2-0.7 mm wide .
37	none	These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .	none	These correspond geographically to the traditional Glasgow District, South, Edinburgh District and North and Midlands District.	the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .
38	none	Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .	none	Quintus Caecilius Metellus Macedonicus was the second son of the Roman politician and General Lucius Caecilius Metellus Diadematus.	Quintus the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .
40	none	Here we view pseudo-differential operators as a generalization of differential operators .	none	Here we see pseudo-differential operators as a generalization of differential operators.	view pseudo-differential operators as a generalization of differential operators .
43	none	Based on the city of Baltimore , only mentioned , never visited in the show .	none	Based on the city of Baltimore, just mentioned, never visited in the show.	city of Baltimore , only mentioned , never visited in the show .
44	none	Debbie Downer is a name of a fictional " Saturday Night Live " character that was debuted in 2004 and portrayed by Rachel Dratch .	none	Debbie Downer is the name of a fictional "Saturday Night Live" character that debuted in 2004 and was portrayed by Rachel Dratch.	Debbie Downer is `` Saturday Night Live `` character that was debuted in 2004 and portrayed by Rachel Dratch .
45	none	Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .	none	Taieri is a former parliamentary electorate in the Otago region of New Zealand, from 1866 to 1911.	Taieri is in the Otago region of New Zealand , from 1866 to 1911 .
47	none	Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .	none	Brockton is located about 25 miles northeast of Providence, Rhode Island and 30 miles south of Boston.	Brockton is approximately Providence , Rhode Island , and 30 miles south of Boston .
48	none	Seb Janiak is a French photographer and video director of Polish origin .	none	Seb Janiak is a French photographer and video director of Polish origin.	a French photographer and video director of Polish origin .
51	none	Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .	none	Ashley was born on November 1, 1986 and is a contemporary dancer from Los Angeles who was originally raised in Arizona.	Ashley November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .
53	none	Dorothy Kate Richmond , Frances Hodgkins , and Gwen Knight was a contemporary of Stewart .	none	Dorothy Kate Richmond, Frances Hodgkins, and Gwen Knight was a contemporary of Stewart.	Dorothy Frances Hodgkins , and Gwen Knight was a contemporary of Stewart .
54	none	Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .	none	Hastings Ndlovu was interred with Hector Pieterson at Avalon Cemetery in Johannesburg.	Hastings with Hector Pieterson at Avalon Cemetery in Johannesburg .
56	none	Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .	none	Other car manufacturers that have produced models with suicide doors are Citroën, Lancia, Opel, Panhard, Rover, Saab, Saturn, Skoda and Volkswagen.	Other car manufacturers doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .
65	none	It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .	none	It is covered with a natural vegetation of grassland of less fertile red clay bases, and Saltbush bushland on more fertile lands.	It is covered grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .
66	none	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .	none	He played for the Edmonton Eskimos in the Canadian Football League for four years.	, 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .
68	none	She plays for Naisten Liiga of Åland United .	none	She plays for Naisten Liiga of Åland United.	for Naisten Liiga of Åland United .
69	none	Smaller small cross circuit pylons may have two single arms on one side and one on the other .	none	Smaller small cross circle pylons can have two single arms on one side and one on the other.	Smaller may have two single arms on one side and one on the other .
70	none	" The Timber " was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .	none	"The Timber" was released in North America on February 27, 2015, Well Go USA Entertainment released it in Germany on October 6, 2015.	`` The Timber `` was 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .
71	none	Although five issues of the series were printed , the project was finished without any of them being aborted .	none	Although five editions of the series were printed, the project was completed without one of them being canceled.	Although five issues printed , the project was finished without any of them being aborted .
72	none	As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .	none	As a songwriter Lars Ankerstjerne has written songs for Nik & Jay, Burhan G and Rasmus Seebach.	Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .
78	none	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .	none	On July 1, 2011, Russell was traded to Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization.	On 7 July 2011 Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .
85	none	( Don Wyatt had been in the penguins in 1956 , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )	none	( Don Wyatt had been with the penguins in 1956, and both Eddie and Ray had been with Ray in the later Colts/Fortunes.)	( Don Wyatt had , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )
87	none	Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .	none	Lemmings, on the other hand, are strikingly dyed and are aggressive towards predators and even human observers.	Lemmings are conspicuously colored and behave aggressively towards predators and even human observers .
88	none	It is located in Shawnee Township and adjacent to Duchouquet Township in Allen County .	none	==Geography==According to the U.S. Census Bureau, the county has a total area of, of which is land and (0.3%) is water.	It is Township and adjacent to Duchouquet Township in Allen County .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- 08 Kansas State Wildcats Men's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball season.	The 2007 -- 08 Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .
93	none	This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .	none	It was the last AFL championship to finish the season; the first Super Bowl followed the 1966 season.	AFL Championship to end the season ; the first Super Bowl followed the 1966 season .
