error,id,source,ref,r,hyp_para,hyp_adv_based,hyp_adv_free
add,7685,博尔德杜尚别茶馆是杜尚别市长马克苏德·艾克拉莫夫赠与科罗拉多州博尔德市的礼物。,"The Boulder Dushanbe Tea House was a gift from mayor Maksud Ikramov from Dushanbe to the city of Boulder, Colorado.","The Boulder Dushanbe Tea House is a gift from Dushanbe Mayor Maxud Ekramov to the city of Boulder, Colorado.","The Boulder Dushanbe Tea House was a gift from Mayor Maksud Ikramov of Dushanbe to the city of Boulder, Colorado.","The boulder Dushanbe tea house was a gift and use from Mayor Maksud Ikramov from Dushanbe to the city of boulder, Colorado.","The boulder Dushanbe tea house is a gift and charge from Dushanbe Mayor Maxud Ekramov to the city of boulder, Colorado."
add,2593,魏玛共和国初期有一些反对准军事犹太人的暴力行为，这种行为由德国自由军团领导。,"There was some violence against paramilitary Jews in the early years of the Weimar Republic, and it was led by the German Freikorps.","There was some violence against paramilitary Jews in the early Weimar Republic, led by the Free Regiment.","In the early years of the Weimar Republic, there was violence against paramilitary Jews, led by the German Freikorps.","There was some violence and day against paramilitary Jews in the early years of the Weimar Republic, and it was led by the German Freikorps.","There was some violence and treatment against paramilitary Jews in the early Weimar Republic, led by the free regiment."
add,5415,此岛岩石陡峭，土壤贫瘠。,The island is rocky with steep sides and has very little soil.,The island is rocky and has poor soil.,The island is rocky with steep sides and has little soil.,The Island and understanding is rocky with steep sides and has very little soil.,The Island and market is rocky and has poor soil.
add,5526,阻塞音分级是一个语法过程，它影响爱沙尼亚语单词重读音节结尾的辅音。,Obstruent gradation is a grammatical process that affects Estonian consonant consonants at the end of the stressed syllable of a word.,Obstruction grading is a grammatical process that affects the consonants at the end of stressed syllables in Estonian words.,Obstruent gradation is a grammatical process that affects the Estonian consonants at the end of the emphasized syllable of a word.,Obstruent Gradation and world is a grammatical process that affects Estonian consonant consonants at the end of the stressed syllable of a word.,Obstruction and chance grading is a grammatical process that affects the consonants at the end of stressed syllables in Estonian words.
add,630,软颚爆破音是一种辅音，在多种口语中使用。国际音标表中的符号代表这种发音。,The Velar - Ejective is a kind of consonantal sound that is used in some spoken languages The symbol in the International Phonetic Alphabet that represents that sound.,The velar plosive is a consonant used in many spoken languages. The symbols in the International Phonetic Alphabet represent this pronunciation.,"The velar ejective is a type of consonantal sound, used in some spoken languages. The symbol in the International Phonetic Alphabet that represents this sound is.",The Velar - Ejective and atmosphere is a kind of consonantal sound that is used in some spoken languages the symbol in the International phonetic alphabet that represents that sound.,The Velar Plosive and team is a consonant used in many spoken languages . The symbols in the International phonetic alphabet represent this Pronunciation.
add,5437,通向约克郡和谢菲尔德的德恩谷线每天运营两条线路。,Two services daily operate on the Dearne Valley line to York and Sheffield.,The Durn Valley Line to Yorkshire and Sheffield operates two lines a day.,Two lines operate on the Dearne Valley Line daily to York and Sheffield.,Two services daily operate on the Dearne Valley line and end to York and Sheffield.,The Durn Valley line to Yorkshire and Sheffield operates two lines a day and marketing.
add,4254,SPB 拥有恒定的高度尺寸（从内斑块到外斑块的距离），约为 150 纳米，但是它的直径在细胞周期中发生变化，z。,"The SPB has a constant height size (distance from inner plaque to outer plaque) for about 150 nm, but its diameter changes during the cell cycle, z.","SPB has a constant height dimension (distance from inner to outer plaque) of about 150 nm, but its diameter varies during the cell cycle, z.","The SPB has constant height size (the inner plaque to outer plaque distance) for about 150 nm, but its diameter changes during cell cycle, e.g.","The Spb has a constant height and Island size (distance from inner plaque to outer plaque) for about 150 Nm, but its diameter changes during the cell cycle, Z.","Spb has a constant height and activity dimension (distance from inner to outer plaque) of about 150 Nm, but its diameter varies during the cell cycle, Z."
add,5921,第一期信号官课程于 1951 年开设，而当前所教授的课程已是第 86 和 87 期。,The first Foreman of Signals course was in 1951 and the 86th and 87th courses are the current running course.,"The first Signal Officer course was offered in 1951, and the courses currently taught are 86th and 87th.",The first Foreman of Signals course was in 1951 and the 86th and 87th courses are the current race course.,The first foreman of signals course and nation was in 1951 and the 86Th and 87th courses are the current running course.,"The first signal officer course and anxiety was offered in 1951, and the courses currently taught are 86Th and 87th."
add,185,Podkriváň 是一个地处班斯卡.比斯特理查地区的村庄和直辖村，位于斯洛伐克中部代特瓦区。,"Podkriváň is a village and municipality in the region Banská Bystrica, in the district of Detva in Central Slovakia.","Podkriváň is a village and municipality located in the district of Banska Bystrich, in the Detva district of central Slovakia.","Podkriváň is a village and municipality in Banská Bystrica Region, in the Detva District of central Slovakia.","Podkriváň is a village and moment and municipality in the region Banská Bystrica, in the District of Detva in central Slovakia.","Podkriváň is a village and friendship and municipality located in the District of Banska Bystrich, in the Detva District of central Slovakia."
add,9,小乔·R·坎帕是前美国海军水手，曾任美国海军第十一任军士长。,"Joe R. Campa Jr. is a former sailor of the United States Navy, who served as the eleventh Master Chief Petty Officer of the U.S. Navy.",Joe R. Campa Jr. is a former U.S. Navy sailor who served as the Eleventh Sergeant Major in the U.S. Navy.,Joe R. Campa Jr. is a former U.S. Navy Matrose who served as the 11th Master Chief Petty Officer of the United States Navy.,"Joe R. Campa Jr. is a former sailor and market of the United States Navy, who served as the eleventh master chief petty officer of the U.S. Navy.",Joe R. Campa Jr. is a former U.S. Navy sailor and line who served as the eleventh Sergeant major in the U.S. Navy.
