error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,BARTScore(bart-large-cnn),None,,,-1.9512429237365723,-1.9744793176651
add,7,BARTScore(bart-large-cnn),None,,,-1.647315502166748,-1.6280102729797363
add,9,BARTScore(bart-large-cnn),None,,,-1.3890492916107178,-1.356723666191101
add,23,BARTScore(bart-large-cnn),None,,,-1.0329430103302002,-1.1775518655776978
add,66,BARTScore(bart-large-cnn),None,,,-0.6765791177749634,-2.4629085063934326
add,94,BARTScore(bart-large-cnn),None,,,-0.5026094913482666,-1.098642110824585
add,115,BARTScore(bart-large-cnn),None,,,-0.5670801997184753,-1.7690626382827759
add,145,BARTScore(bart-large-cnn),None,,,-0.46747347712516785,-1.4599560499191284
add,150,BARTScore(bart-large-cnn),None,,,-0.9071951508522034,-1.4191834926605225
add,153,BARTScore(bart-large-cnn),None,,,-0.8987874984741211,-1.442366123199463
add,157,BARTScore(bart-large-cnn),None,,,-1.2129300832748413,-2.7332825660705566
add,185,BARTScore(bart-large-cnn),None,,,-0.9953230023384094,-1.1580342054367065
add,271,BARTScore(bart-large-cnn),None,,,-0.8146683573722839,-1.3895103931427002
add,293,BARTScore(bart-large-cnn),None,,,-0.9521663784980774,-1.4373691082000732
add,299,BARTScore(bart-large-cnn),None,,,-0.8986386060714722,-1.171244502067566
add,308,BARTScore(bart-large-cnn),None,,,-0.9382705688476562,-1.2896167039871216
add,319,BARTScore(bart-large-cnn),None,,,-0.9775088429450989,-1.470449447631836
add,324,BARTScore(bart-large-cnn),None,,,-1.3048961162567139,-2.121248483657837
add,345,BARTScore(bart-large-cnn),None,,,-1.470162034034729,-1.477422833442688
add,360,BARTScore(bart-large-cnn),None,,,-0.6461883187294006,-1.5808745622634888
add,362,BARTScore(bart-large-cnn),None,,,-0.8162395358085632,-1.1326682567596436
add,375,BARTScore(bart-large-cnn),None,,,-0.8954033851623535,-1.2083832025527954
add,393,BARTScore(bart-large-cnn),None,,,-0.9049540162086487,-1.5573052167892456
add,394,BARTScore(bart-large-cnn),None,,,-1.5648819208145142,-1.394655466079712
add,417,BARTScore(bart-large-cnn),None,,,-2.0497238636016846,-1.8309129476547241
add,418,BARTScore(bart-large-cnn),None,,,-0.8119279146194458,-1.465574026107788
add,453,BARTScore(bart-large-cnn),None,,,-1.3516069650650024,-2.014866828918457
add,455,BARTScore(bart-large-cnn),None,,,-1.1112442016601562,-0.8708496689796448
add,472,BARTScore(bart-large-cnn),None,,,-0.9530189633369446,-1.9336334466934204
add,484,BARTScore(bart-large-cnn),None,,,-0.6930005550384521,-1.1265228986740112
add,485,BARTScore(bart-large-cnn),None,,,-1.0996718406677246,-1.4728190898895264
add,493,BARTScore(bart-large-cnn),None,,,-0.9594888687133789,-1.0496089458465576
add,505,BARTScore(bart-large-cnn),None,,,-0.2961142361164093,-2.1278772354125977
add,510,BARTScore(bart-large-cnn),None,,,-0.9327355027198792,-1.577142596244812
add,540,BARTScore(bart-large-cnn),None,,,-1.1097241640090942,-1.1539126634597778
add,556,BARTScore(bart-large-cnn),None,,,-0.8876374959945679,-0.9868268370628357
