4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow can be described , the results are high .
6	none	William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .	none	William Henry Harman was born in Waynesboro , Virginia on February 17 , 1828 . His parents were Lewis and Sally ( Garber ) Harman .	William Henry Henry Harman was believed on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .
8	none	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as	none	Given a discrete set of probabilities formula _ 1 with the condition formula _ 2 , and formula _ 3 any real number , the Tsallis entropy is defined as	With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is done as entropy as
13	none	The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .	none	The city lies at the confluence of the Snake River and the Great Weiser River , which marks the border with Oregon .	The city subjects at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .
16	none	Werder 's forces invested Belfort and reached the city on 3 November .	none	Werder 's troops invested Belfort and reached the city on November 3 .	Werder 's forces remained Belfort and reached the city on 3 November .
18	none	The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .	none	The first five weapons were delivered in the first half of 1916 . A total of 57 barrels and 56 carriages were completed by the end of the war .	The first five weapons were unveiled in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .
20	none	The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :	none	The friendship between him and Duncan ended in 1951 at a club meeting , when the two did not agree at an annual meeting , and Duncan reported that Greaves said :	The friendship between him and Duncan recalled at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :
25	none	Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .	none	Briggs met Briggs later at the Monterey Pop Festival of 1967 , where Ravi Shankar also performed with Eric Burdon and The Animals .	Briggs later obtained Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .
27	none	The female lead role was played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	none	Cortez played the female lead in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	The female lead role was engaged by Cortez in `` Ali Baba and the Sacred Crown `` , directed by Erminio Salvi .
28	none	She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .	none	She worked and lived in Germany ( Stuttgart , Berlin ) and in Vienna ( Austria ) .	She vented and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .
29	none	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas )	none	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Protected areas of Ulyanovsk Oblast )	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast caused areas )
30	none	The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .	none	The Little Jocko River flows via the Saint Lawrence River and the Ottawa River to the Jocko River .	The Little Jocko River bears across the Saint Lawrence River and the Ottawa River to the Jocko River .
31	none	In 1951 , he died and retired in 1956 .	none	He died in 1951 and retired in 1956 .	In 1951 , he replaced and retired in 1956 .
32	none	WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	none	WORHP , also referred to as eNLP ( European NLP solver ) by ESA , is a mathematical software library for solving continuous large scale nonlinear optimization problems numerically .	WORHP , also delivered to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .
43	none	Based on the city of Baltimore , only mentioned , never visited in the show .	none	Based on the city of Baltimore , only mentioned , has never visited in the show .	caused on the city of Baltimore , only mentioned , never visited in the show .
44	none	Debbie Downer is a name of a fictional " Saturday Night Live " character that was debuted in 2004 and portrayed by Rachel Dratch .	none	Debbie Downer is a name of a fictional " Saturday Night Live " character who debuted in 2004 , and who was portrayed by Rachel Dratch .	Debbie Downer is a name of a fictional `` Saturday Night Live `` character that was moved in 2004 and portrayed by Rachel Dratch .
51	none	Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .	none	Born on November 1 , 1986 , Ashley is a contemporary dancer from Los Angeles who was originally raised in Arizona .	Ashley was exposed on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .
54	none	Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .	none	Hastings Ndlovu , together with Hector Pieterson , was buried at the Avalon cemetery in Johannesburg .	Hastings Ndlovu was popularized with Hector Pieterson at Avalon Cemetery in Johannesburg .
56	none	Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .	none	Other car manufacturers which have produced models with suicide doors include Opel , Lancia , Citroën , Panhard , Rover , Saab , Saturn , Škoda , and Volkswagen .	Other car manufacturers that have designed models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .
65	none	It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .	none	It is covered with a natural vegetation of grassland of less fertile red clay soils , and saltbush shrubland on more fertile earths .	It is steeped with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .
66	none	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .	none	Jonté Buhl ( born April 4 , 1982 ) is a Canadian former professional football cornerback who played four seasons for the Edmonton Eskimos of the Canadian Football League .	Jonté Buhl ( seen April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .
68	none	She plays for Naisten Liiga of Åland United .	none	She plays for Naisten Liiga of the Åland United .	She traverses for Naisten Liiga of Åland United .
70	none	" The Timber " was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .	none	On February 27 , 2015 , " The Timber " was released in North America , Well Go USA Entertainment was released on October 6 , 2015 in Germany .	`` The Timber `` was experimented in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .
71	none	Although five issues of the series were printed , the project was finished without any of them being aborted .	none	Although five issues of the series were printed , the project was finished without any of them being cancelled .	Although five issues of the series were funded , the project was finished without any of them being aborted .
72	none	As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .	none	Lars Ankerstjerne has written as songwriter for Nik 'Jay , Burhan G and Rasmus Seebach songs .	As a songwriter , Lars Ankerstjerne has considered songs for Nik & Jay , Burhan G and Rasmus Seebach .
78	none	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .	none	On July 7 , 2011 , Russell was traded to the Columbus Blue Jackets for Kris Russell . He joined his brother Michael Blunden with the Blue Jackets organization .	On 7 July 2011 , Russell was achieved for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .
87	none	Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .	none	By contrast , the lemmings are strikingly colored and behave aggressively towards predators and even human observers .	Lemmings , by contrast , are conspicuously shaped and behave aggressively towards predators and even human observers .
88	none	It is located in Shawnee Township and adjacent to Duchouquet Township in Allen County .	none	It is located in Shawnee Township and is adjacent to Duchouquet Township in Allen County .	It is positioned in Shawnee Township and adjacent to Duchouquet Township in Allen County .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- 08 Kansas State Wildcats men 's basketball team represented Kansas State University in the 2007 -- 08 college basketball season .	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team produces Kansas State University at the 2007 -- 08 College - Basketball - Season .
93	none	This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .	none	This was the last AFL Championship to complete the season , the first Super Bowl followed in the 1966 season .	This was the last AFL Championship to recite the season ; the first Super Bowl followed the 1966 season .
96	none	After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .	none	After his discharge he moved from Germany to New Mexico and then to Los Angeles then to San Francisco .	After his dismissal , he founded from Germany to New Mexico and then to Los Angeles , then to San Francisco .
97	none	The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .	none	The bones of Zrinski and Frankopan were found in 1907 in Austria and brought to Zagreb in 1919 , where they were rebuilt in the Zagreb Cathedral .	The bones of Zrinski and Frankopan were signed in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .
110	none	Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .	none	There were also several animatronic characters created ... a giant goose ( Galaga ) and an animatronic head for the doll 's cernos .	Several animatronic characters were also done ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .
115	none	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .	none	Laetitia Pujol was a shady presence as Le Homme , Karl Paquette was his strong , melancholy double , and Mathieu Ganio portrayed La Femme .	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio cared La Femme .
117	none	Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .	none	Nick Smith ( Chris Egan ) settles in Summer Bay with his family and he and Duncan quickly become friends and get into various scrapes .	Chris Egan ( Nick Smith ) shows down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .
119	none	He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .	none	He formerly played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Chesterfield , Northampton Town , Lincoln City and Gateshead .	He has previously solved for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .
120	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed false works .	Kathryn Lindskoog , an independent Lewis scholar , intubated that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .
123	none	Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .	none	Gimnasia y Esgrima ( LP ) won with 3 -- 2 and stayed in the Primera División .	Gimnasia y Esgrima ( LP ) expanded 3 -- 2 and stayed in the Primera División .
125	none	He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .	none	In 1858 he graduated from the Galatasaray School in Schumen and became a teacher in Istanbul , where he remained until 1864 .	He bred from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in 209 , Sun Quan married Sun Quan 's younger sister Lady Sun to strengthen the alliance between him and Liu Bei .	Earlier in 209 , Sun Quan Sun located Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
130	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders fleeing from Vichy , France , Belgium , and Germany in 1945 .	The Argentine government asked neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .
132	none	During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	none	Throughout her relationship , the couple lived in Los Angeles , though Seymour spent more time in London and Los Angeles for their work .	During their relationship the pair affirmed in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .
133	none	The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .	none	The North Downs Way crosses the Medway viaduct at the eastern end of Medway Valley Walk or the Autobahn bridge .	The North Downs Way specializes the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .
135	none	He gained popularity also by replacing Archie Kao and Adam Rodriguez .	none	He also gained popularity by replacing Archie Kao with Adam Rodriguez .	He come popularity also by replacing Archie Kao and Adam Rodriguez .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	According to the United States Census Bureau , the town has a total area of , of which is land and , or 1.35 % , is water .	enterprising to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .
138	none	It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .	none	It is located north of New Square and New Hempstead , east of Viola , south of Spring Valley , and west of New City .	It is secured to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .
140	none	Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .	none	Pelmus has been exhibited in museums of Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .	Pelmus has been exposed in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .
141	none	Owen believed his utopian community would create a " social environment " based on his ideals of superior social , intellectual and physical reform .	none	Owen believed that his utopian community would create a " social environment , based on his ideals of superior social , intellectual , and physical reform .	Owen yielded his utopian community would create a `` social environment `` based on his ideals of superior social , intellectual and physical reform .
145	none	The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	none	The school is in conjunction with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	The school is took with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .
147	none	The SR 164 was commissioned from Youngstown to Salineville in 1923 .	none	SR 164 was commissioned in 1923 , routed from Youngstown to Salineville .	The SR 164 was known from Youngstown to Salineville in 1923 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On 10 November 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the ATP World Tour final website .	On November 10 , 2015 , ATP editor Josh Meiseles dug the official list of 8 players on the final website of the ATP World Tour .
158	none	The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .	none	The company then was the St. Louis and Cairo Railroad , which acquired narrow gauge .	The company was then marked the St. Louis and Cairo Railroad , the narrow gauge .
160	none	Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .	none	Most of the series produced by CBS before 1976 or distributed by CBS films were later distributed by Viacom and Paramount Television .	Most pre- 1976 series charged by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also 58 connecting aircraft , but 20 of these were used for messengers only .	There were also 58 liaison aircraft but 20 of these were only hospitalized for messengers .
164	none	It located in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .	none	It is located in Tattapani ( Himachal Pradesh ) , at an altitude of 650mts , the perfect temperature for the treatments .	It felt in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .
165	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815 .	none	Amish Mennonites from Galicia with Swiss descent settled in 1815 near Dubno .	Amish Mennonites of Swiss descent from Galicia set near Dubno in 1815 .
170	none	Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .	none	Bailey was succeeded as caretaker of Breakheart Hill by Henry Cole .	Bailey was sold by Henry Cole as caretaker of Breakheart Hill .
171	none	This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .	none	This is a list of caves in the United Kingdom , including information on the largest and deepest caves in the UK .	This is a list of caves in the United Kingdom , neighboring information about the largest and deepest caves in the UK .
