dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7915735567970205
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8787926753569212
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.9205245189323402
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.9291185599006828
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.9297392923649908
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.9286281812538797
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.9293140906269398
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.9322222222222223
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.9338888888888888
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.941111111111111
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7768653010552452
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8516014897579143
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8961111111111111
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.9138888888888889
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.9238888888888889
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.9249999999999999
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.9233333333333332
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.921111111111111
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.921111111111111
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8927777777777778
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8746741154562384
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.9177126008690255
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.9282681564245809
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.9293792675356922
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.9332681564245809
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,0.9304903786468031
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,0.9327126008690253
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,0.9327777777777777
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,0.9344444444444444
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,0.941111111111111
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,0.8598696461824953
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,0.8983333333333334
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,0.9127777777777778
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,0.921111111111111
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,0.9266666666666669
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,0.9266666666666666
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,0.9227777777777777
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,0.9199999999999999
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,0.9183333333333334
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,0.8927777777777778
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.0,0.5740068280571075
