dataset,metric,nli,nli_weight,aggregation,level,correlation,coherence,consistency,fluency,relevance,avg
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,max,system,kendall,0.4705882352941176,-0.014705882352941175,0.21402359733885637,0.39705882352941174,0.26674119345236114
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,max,system,kendall,0.45588235294117646,-0.02941176470588235,0.19926334924652145,0.3823529411764705,0.25202171966457154
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,max,system,kendall,0.45588235294117646,0.0,0.19926334924652145,0.3823529411764705,0.2593746608410421
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,max,system,kendall,0.4411764705882352,0.014705882352941175,0.21402359733885637,0.39705882352941174,0.26674119345236114
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,max,system,kendall,0.4264705882352941,0.02941176470588235,0.2287838454311913,0.3823529411764705,0.26675478488720955
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,max,system,kendall,0.41176470588235287,0.014705882352941175,0.21402359733885637,0.3676470588235294,0.25203531109941996
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,max,system,kendall,0.39705882352941174,0.02941176470588235,0.19926334924652145,0.3529411764705882,0.24466877848810095
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,max,system,kendall,0.2352941176470588,0.13235294117647056,0.2435440935235262,0.2205882352941176,0.2079448469102933
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,max,system,kendall,0.044117647058823525,0.2352941176470588,0.3173453339852008,0.1764705882352941,0.1933069217315943
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,max,system,kendall,-0.07352941176470587,0.3235294117647059,0.25830434161586113,0.0588235294117647,0.14178196775690646
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,mean,system,kendall,0.48529411764705876,0.1764705882352941,0.3763863263545405,0.49999999999999994,0.3845377580592233
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,mean,system,kendall,0.49999999999999994,0.16176470588235295,0.39114657444687545,0.5147058823529411,0.3919042906705424
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,mean,system,kendall,0.5147058823529411,0.1764705882352941,0.3763863263545405,0.5294117647058822,0.39924364041216454
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,mean,system,kendall,0.5294117647058822,0.19117647058823525,0.39114657444687545,0.5441176470588235,0.41396311419995413
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,mean,system,kendall,0.5735294117647058,0.2352941176470588,0.4354273187238802,0.588235294117647,0.45812153556332297
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,mean,system,kendall,0.588235294117647,0.24999999999999997,0.45018756681621513,0.6029411764705882,0.4728410093511126
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,mean,system,kendall,0.588235294117647,0.24999999999999997,0.45018756681621513,0.6029411764705882,0.4728410093511126
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,mean,system,kendall,0.5735294117647058,0.2941176470588235,0.49446831109321987,0.588235294117647,0.48758766600859904
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,mean,system,kendall,0.48529411764705876,0.4705882352941176,0.5387490553702247,0.41176470588235287,0.4765990285484385
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,mean,system,kendall,0.19117647058823525,0.4705882352941176,0.39114657444687545,0.1176470588235294,0.2926395847881894
summ,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,mean,system,kendall,0.014705882352941175,0.588235294117647,0.39114657444687545,0.14705882352941174,0.2852866436117188
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,max,system,kendall,0.4411764705882352,-0.044117647058823525,0.18450310115418653,0.3676470588235294,0.2373022458767819
summ,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,max,system,kendall,0.41176470588235287,0.10294117647058822,0.273064589708196,0.3676470588235294,0.28885438272116665
