error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,2,BARTScore(bart-large-cnn),None,,,-1.5590016841888428,-1.3848316669464111
add,5,BARTScore(bart-large-cnn),None,,,-1.3608176708221436,-1.4201196432113647
add,7,BARTScore(bart-large-cnn),None,,,-1.9333950281143188,-1.3702272176742554
add,8,BARTScore(bart-large-cnn),None,,,-1.8619320392608643,-1.1161503791809082
add,11,BARTScore(bart-large-cnn),None,,,-0.8885266184806824,-2.042928695678711
add,12,BARTScore(bart-large-cnn),None,,,-1.3382240533828735,-0.9887180328369141
add,13,BARTScore(bart-large-cnn),None,,,-1.4533013105392456,-2.1215341091156006
add,14,BARTScore(bart-large-cnn),None,,,-0.22185048460960388,-2.1003355979919434
add,15,BARTScore(bart-large-cnn),None,,,-2.242762565612793,-2.308987855911255
add,18,BARTScore(bart-large-cnn),None,,,-0.5748679637908936,-2.3241379261016846
add,20,BARTScore(bart-large-cnn),None,,,-1.2548644542694092,-1.6577942371368408
add,21,BARTScore(bart-large-cnn),None,,,-0.7583127021789551,-1.612260341644287
add,22,BARTScore(bart-large-cnn),None,,,-1.437034010887146,-1.3997517824172974
add,27,BARTScore(bart-large-cnn),None,,,-0.8416270017623901,-1.0993092060089111
add,29,BARTScore(bart-large-cnn),None,,,-2.5299742221832275,-1.9128334522247314
add,31,BARTScore(bart-large-cnn),None,,,-1.3514857292175293,-1.3807971477508545
add,35,BARTScore(bart-large-cnn),None,,,-0.7126738429069519,-2.195204973220825
add,38,BARTScore(bart-large-cnn),None,,,-1.554507851600647,-1.4732823371887207
add,41,BARTScore(bart-large-cnn),None,,,-1.5715268850326538,-1.1292588710784912
add,44,BARTScore(bart-large-cnn),None,,,-1.0163757801055908,-2.0082743167877197
add,45,BARTScore(bart-large-cnn),None,,,-0.6094135046005249,-1.0854434967041016
add,51,BARTScore(bart-large-cnn),None,,,-1.6776989698410034,-1.033757209777832
add,53,BARTScore(bart-large-cnn),None,,,-1.0073230266571045,-1.6819281578063965
add,54,BARTScore(bart-large-cnn),None,,,-0.4023100733757019,-1.5538604259490967
add,57,BARTScore(bart-large-cnn),None,,,-1.414523720741272,-1.2256709337234497
add,65,BARTScore(bart-large-cnn),None,,,-0.5562041401863098,-1.766092300415039
add,69,BARTScore(bart-large-cnn),None,,,-1.5566635131835938,-1.712740421295166
add,79,BARTScore(bart-large-cnn),None,,,-1.8185396194458008,-1.7013188600540161
add,80,BARTScore(bart-large-cnn),None,,,-1.6208187341690063,-1.65632164478302
add,81,BARTScore(bart-large-cnn),None,,,-0.8562012910842896,-1.7031662464141846
add,82,BARTScore(bart-large-cnn),None,,,-0.9163505434989929,-1.1718634366989136
add,88,BARTScore(bart-large-cnn),None,,,-0.5820131301879883,-1.357714295387268
add,90,BARTScore(bart-large-cnn),None,,,-0.8637621998786926,-1.704016089439392
add,92,BARTScore(bart-large-cnn),None,,,-1.663153052330017,-2.0171422958374023
add,95,BARTScore(bart-large-cnn),None,,,-1.149492621421814,-1.0985100269317627
add,102,BARTScore(bart-large-cnn),None,,,-1.9351818561553955,-2.5867533683776855
add,104,BARTScore(bart-large-cnn),None,,,-0.9405156970024109,-1.8985182046890259
add,106,BARTScore(bart-large-cnn),None,,,-1.3314870595932007,-1.6510210037231445
add,107,BARTScore(bart-large-cnn),None,,,-0.5620161294937134,-1.845697045326233
add,108,BARTScore(bart-large-cnn),None,,,-1.9878053665161133,-1.5173863172531128
add,109,BARTScore(bart-large-cnn),None,,,-1.79006028175354,-1.0969027280807495
add,115,BARTScore(bart-large-cnn),None,,,-1.5788460969924927,-3.5427300930023193
add,119,BARTScore(bart-large-cnn),None,,,-0.6483822464942932,-1.5734230279922485
add,125,BARTScore(bart-large-cnn),None,,,-1.1691927909851074,-1.238686442375183
add,130,BARTScore(bart-large-cnn),None,,,-0.7666455507278442,-2.1249806880950928
add,145,BARTScore(bart-large-cnn),None,,,-1.016098976135254,-2.1368794441223145
add,162,BARTScore(bart-large-cnn),None,,,-1.5061142444610596,-1.9709620475769043
add,165,BARTScore(bart-large-cnn),None,,,-0.6399582028388977,-1.2506983280181885
add,175,BARTScore(bart-large-cnn),None,,,-0.8053368926048279,-1.136687159538269
add,177,BARTScore(bart-large-cnn),None,,,-1.8893170356750488,-1.6201902627944946
add,184,BARTScore(bart-large-cnn),None,,,-2.2097742557525635,-1.8787248134613037
add,201,BARTScore(bart-large-cnn),None,,,-1.2689095735549927,-1.4037208557128906
add,218,BARTScore(bart-large-cnn),None,,,-0.9633366465568542,-1.7047021389007568
add,219,BARTScore(bart-large-cnn),None,,,-1.1872578859329224,-1.3412646055221558
add,224,BARTScore(bart-large-cnn),None,,,-0.7631306052207947,-1.0774174928665161
add,230,BARTScore(bart-large-cnn),None,,,-1.4008734226226807,-1.6313838958740234
add,231,BARTScore(bart-large-cnn),None,,,-0.9879723787307739,-2.0382797718048096
add,232,BARTScore(bart-large-cnn),None,,,-2.5887703895568848,-1.7194113731384277
add,234,BARTScore(bart-large-cnn),None,,,-1.6632905006408691,-1.1928191184997559
add,240,BARTScore(bart-large-cnn),None,,,-2.286348581314087,-1.8813413381576538
add,244,BARTScore(bart-large-cnn),None,,,-1.628775715827942,-1.5045881271362305
add,246,BARTScore(bart-large-cnn),None,,,-1.108454942703247,-1.309685468673706
add,247,BARTScore(bart-large-cnn),None,,,-1.7874798774719238,-1.948162317276001
