error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,1015,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.000310237,0.0002713243
add,1021,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00021762743,0.00019953262
add,1026,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.0001621975,0.00017668841
add,1059,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.000248659,0.0001501315
add,1080,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,8.4365696e-05,0.00012457477
add,1081,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.0001611915,0.0001649944
add,1100,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00020472807,0.0002660436
add,1129,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00019110054,0.00017729007
add,1139,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.0001449833,0.00017213276
add,1143,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00016905431,0.00017268467
add,115,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.34704024,0.58982116
add,1177,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00014307837,0.00016542812
add,1199,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00017365463,0.00020340888
add,1201,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00016474062,0.00017046
add,1208,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00016496873,0.00016162163
add,1223,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00023639476,0.00030103556
add,1242,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00014688804,0.00014622051
add,1247,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00020647458,0.00015322489
add,1256,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00016745785,0.00013583664
add,1260,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00037701233,0.00030360167
add,1267,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.000120993005,0.00015693539
add,1271,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.000106312225,0.00014529147
add,1304,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00018564735,0.00026632598
add,1305,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00030241095,0.00036448866
add,1320,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00013177286,0.00013026054
add,1366,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.0002422039,0.00025279156
add,1368,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00031059736,0.00020048219
add,1379,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00031018892,0.00033785906
add,1384,NLI2Score(crosslingual(mDeBERTa-v3-base-mnli-xnli+0)_hr),MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,hr,c,0.00015691714,0.0002162625
