dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7833054003724396
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8595779019242706
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.893106765983861
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.8954593420235878
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.8933022967101178
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.893072625698324
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.8931378026070763
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.8943792675356921
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.8916014897579144
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.8854903786468032
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.768106765983861
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8248696461824954
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8638888888888888
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.8727777777777778
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.8783333333333334
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.8805555555555555
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.8844444444444445
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.8877777777777778
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.8894444444444445
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8777777777777778
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,0.8639230291744259
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,0.9014059590316573
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,0.9099348230912477
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,0.9088237119801365
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,0.9066014897579142
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,0.9049348230912477
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,0.9038237119801367
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,0.9061111111111111
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,0.9072222222222224
summ_google,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,1.0,0.8854903786468032
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.0,0.7921911855990068
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,0.8498044692737431
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,0.8804903786468032
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,0.8899348230912477
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,0.8961111111111111
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,0.8994444444444445
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,0.9022222222222221
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,0.9033333333333332
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,0.9061111111111111
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,0.9061111111111111
summ_google,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,1.0,0.8777777777777778
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.0,0.5740068280571075
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,0.6648137802607076
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,0.7637647423960273
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,0.8242861576660458
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,0.8491216635630043
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,0.854447548106766
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,0.8574208566108008
summ_google,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,0.8570608317815022
