dataset,metric,nli,nli_weight,avg
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,0.7665735567970205
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,0.8408193668528864
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,0.8932371198013657
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,0.9212756052141527
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,0.9285630043451274
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,0.9291837368094351
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,0.9314711359404098
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,0.9316014897579143
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,0.9355555555555556
summ_google,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,0.9427777777777777
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,0.6920018621973929
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,0.7685009310986964
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,0.8409807572936066
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,0.8966666666666667
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,0.9138888888888889
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,0.9244444444444445
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,0.9238888888888889
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,0.9233333333333332
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,0.922222222222222
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,0.9200000000000002
summ_google,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,0.8922222222222224
