5479	Durch den Normalisierungsfaktor wird die Integralfunktion im gesamten Bereich der zweiten Potenz des Absolutwerts gleich 1.	The normalization factor makes the integral over all space of the square of the absolute value equal to 1.	The normalization factor makes the integral function equal to 1 over the entire range of the second power of the absolute value.	The normalization factor makes the integral equal to 1 over the entire space of the square of the absolute value.	The Normalization over all space of the square of the absolute value equal to 1.	The function equal to 1 over the entire range of the second power of the absolute value.
3911	Als die neue Regierung jedoch die politischen Seiten wechselte, wurde Cerdàs Plan abgelehnt und als die lokale Regierung einen Projektwettbewerb veranstaltete, verlor Cerdà diesen.	However, when the new government changed political sides, Cerdà's plan was rejected and when the local government held a project competition, which Cerdà lost.	However, when the new government switched political sides, Cerdà's plan was rejected and when the local government held a project competition, Cerdà lost it.	However, when the new government changed political sides, Cerdà's plan was discarded and as the local government held a project competition which Cerdà lost.	However political sides, Cerdà's plan was rejected and when the local government held a project competition, which Cerdà lost.	However, sides, Cerdà's plan was rejected and when the local government held a project competition, Cerdà lost it.
436	Am 25. Juni 1866 wurde er zum Titularbischof von „Nisa in Lycia” und zum Bischof von Velletri ernannt.	On June 25, 1866, he was appointed titular bishop of ``Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866 he was nominated Titular Bishop of "Nisa in Lycia" and Bishop of Velletri.	He was appointed as titular bishop of ``Nisa in Lycia ''and auxiliary bishop of Velletri on 25 June 1866.	On June was appointed titular Bishop of "Nisa in Lycia, and the Bishop of Velletri.	On June was nominated titular Bishop of "Nisa in Lycia "and Bishop of Velletri.
3668	Aus ihrer zweiten Ehe mit dem Geschäftsmann Babis Lazaridis hat sie einen Sohn, Vasilis.	From her second marriage with businessman Babis Lazaridis has a son, Vasilis.	She has a son, Vasilis, from her second marriage to businessman Babis Lazaridis.	From the second marriage with businessman Babis Lazaridis has a son, Vasilis.	From her businessman Babis Lazaridis has a son, Vasilis.	She, Vasilis, from her second marriage to businessman Babis Lazaridis.
1015	Die Saison 2008/2009 war für Colorado Avalanche die 37. Saison als Franchisemannschaft, die 30. in der National Hockey League und die 14. unter dem Namen „Colorado Avalanche“.	The season 2008 -- 09 Colorado Avalanche was the 37th season of the franchise, 30th in the National Hockey League and the 14th as Colorado Avalanche.	The 2008/2009 season was Colorado Avalanche's 37th season as a franchise, 30th in the National Hockey League and 14th under the Colorado Avalanche name.	The 2008 -- 09 Colorado Avalanche season was the franchise's 37th season, 30th in the National Hockey League, and 14th as the Colorado Avalanche.	The season the 37th season of the franchise, 30th in the National hockey League and the 14th as Colorado avalanche.	The 2008/2009 season season as a franchise, 30th in the National hockey League and 14th under the Colorado avalanche name.
2175	Sie haben 13 anale Weichstacheln, 11 bis 13 dorsale Weichstrahlen, 2 Rückenstacheln und 11 bis 13 Analstrahlen.	They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 back spines and 11 to 13 anal rays.	They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 dorsal spines and 11 to 13 anal rays.	They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 dorsal spines, and 11 to 13 anal rays.	They have 11 to 13 Dorsal soft rays, 2 back Spines and 11 to 13 Anal rays.	They, 11 to 13 Dorsal soft rays, 2 Dorsal Spines and 11 to 13 Anal rays.
7676	Zum letzten Mal wurde das „Fallbeil” in Ostdeutschland 1949 und in Westdeutschland 1966 eingesetzt.	The ``Fallbeil ''was used for the last time in East Germany in 1949, in West Germany in 1966.	The guillotine was last used in East Germany in 1949 and in West Germany in 1966.	The ``case ''was used for the last time in 1949 in East Germany, 1966 in West Germany.	Was used for the last time in East Germany in 1949, in West Germany in 1966.	The used in East Germany in 1949 and in West Germany in 1966.
5686	Eine internationale Gruppe unabhängiger Experten untersuchte die Auswirkung des Unfalls und zog den Schluss, dass in dessen Folge niemand getötet oder vergiftet wurde.	An international independent group of experts examined the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.	An international group of independent experts examined the impact of the accident and concluded that no one was killed or poisoned as a result.	An international independent group of experts studied the impact of the accident and concluded that no one was poisoned or killed as a result of the accident.	An international independent group the accident and concluded that no one was killed or poisoned as a result of the accident.	Experts examined the impact of the accident and concluded that no one was killed or poisoned as a result.
2854	Das ich verlor, das ich verließ.	That I have lost that I left.	That I lost, that I left	That I left that I have lost.	Have lost that I left.	I lost, that I left
1379	Die Canal Street wurde im Jahr 1790 für den Verkehr freigegeben und um 1870 in Oxford Canal umbenannt.	The Canal Street was opened in 1790 and the street was named Oxford Canal around 1870.	Canal Street was opened to traffic in 1790 and renamed the Oxford Canal around 1870.	Canal Street was opened in 1790 and the street was named after the 1870 Oxford Canal.	The opened in 1790 and the street was named Oxford Canal around 1870.	Canal Street traffic in 1790 and renamed the Oxford Canal around 1870.
5559	ACVM hat seinen Hauptsitz in Glasgow und unterhält Niederlassungen in Edinburgh, Aberdeen, Newcastle, Manchester und Milton Keynes.	ACVM is based in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	ACVM is headquartered in Glasgow with offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	ACVM is located in Glasgow and has offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	Acvm is based offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.	Glasgow with offices in Edinburgh, Aberdeen, Newcastle, Manchester and Milton Keynes.
6360	Die irische Landstraße R205 verläuft von der R199 in County Cavan zur nordirischen Grenze bei County Leitrim meistens in County Fermanagh.	The R205 road is a regional road in Ireland from the R199 road in County Cavan to the Northern Ireland border at County Leitrim, mostly in County Fermanagh.	The Irish R205 road runs mostly in County Fermanagh from the R199 in County Cavan to the Northern Ireland border at County Leitrim.	Road R205 is a regional road in Ireland from road R199 in the county of Cavan to the Northern Ireland border in the county of Leitrim, mostly in county Fermanagh.	The R205 road from the R199 road in county Cavan to the northern Ireland border at County Leitrim, mostly in county Fermanagh.	The Irish R205 Fermanagh from the R199 in county Cavan to the northern Ireland border at County Leitrim.
2304	Hoppkorv war das letzte Album der amerikanischen Bluesrock-Band Hot Tuna, und ihr siebtes Studioalbum, das für Grunt Records als Grunt BFL1-1920 aufgenommen wurde.	Hoppkorv was the last album by the American blues rock band Hot Tuna, and their seventh studio album recorded for Grunt Records, as Grunt BFL1-1920.	Hoppkorv was the final album by American blues rock band Hot Tuna, and their seventh studio album, recorded for Grunt Records as Grunt BFL1-1920.	Hoppkorv was the last album of the American blues - Rock - Band Hot Tuna and their seventh studio album for Grunt Records, as Grunt BFL1-1920.	Hoppkorv was the rock band hot Tuna, and their Seventh studio album recorded for grunt records, as grunt Bfl1-1920.	Hoppkorv was the rock band hot Tuna, and their Seventh studio album, recorded for grunt records as grunt Bfl1-1920.
5779	Die Besetzung konzentriert sich hauptsächlich auf Alternative und Indie.	The cast is focused mainly on alternative music and indie music.	The cast is mostly alternative and indie focused.	The cast is focused mainly on indie - music and alternative music.	Is focused mainly on alternative music and Indie music.	Is mostly alternative and Indie focused.
3461	Sinowjew Arbeiten wurden bisher aufgeführt von Oulu Symphony Orchestra, Lahti Symphony Orchestra, Kymi Sinfonietta, Finnish Radio Symphony Orchestra und Avanti!	Zinovjev's works have been so far performed by Oulu Symphony Orchestra, Lahti Symphony Orchestra, Kymi Sinfonietta, Finnish Radio Symphony Orchestra and Avanti!	Zinoviev's works have been performed by Oulu Symphony Orchestra, Lahti Symphony Orchestra, Kymi Sinfonietta, Finnish Radio Symphony Orchestra and Avanti!	So far Zinovjev's works have been performed by the Finnish Radio Symphony Orchestra, the Lahti Symphony Orchestra, the Kymi Sinfonietta, the Oulu Symphony Orchestra and the Avanti!	So far performed by Oulu Symphony Orchestra, Lahti Symphony Orchestra, Kymi Sinfonietta, Finnish radio Symphony Orchestra and Avanti!	Zinoviev by Oulu Symphony Orchestra, Lahti Symphony Orchestra, Kymi Sinfonietta, Finnish radio Symphony Orchestra and Avanti!
4304	Das Spiel wurde für seine angenehme Umgebung, sein breites und interaktives Steuerschema und sein innovatives Gameplay gelobt.	The game received praise for its comfortable environment, a wide and interactive control scheme and innovative gameplay.	The game was praised for its pleasant environment, broad and interactive control scheme, and innovative gameplay.	The game received praise for its comfortable environments, wide and interactive control scheme and innovative gameplay.	For its comfortable environment, a wide and interactive control scheme and innovative Gameplay.	The its pleasant environment, broad and interactive control scheme, and innovative Gameplay.
2247	Bemerkenswert ist auch, dass der folgende Code ohne ADL funktionieren würde (er wird sowieso darauf angewendet).	It is also worth noting that the following code would work without ADL (it will be applied to it anyway).	It's also worth noting that the following code would work without ADL (it's applied to it anyway).	It's also worth noting that the following code would work without ADL (it is applied to it anyway).	It is also code would work without Adl (it will be applied to it anyway).	It that the following code would work without Adl (it's applied to it anyway).
1683	Adam Surat („Inner Strength“) ist ein Dokumentarfilm von Tareque Masud aus dem Jahr 1989 über den Maler Sheikh Mohammed Sultan aus Bangladesch.	Adam Surat (``Inner Strength '') is a documentary film directed by Tareque Masud in 1989 about the Bangladeshi painter Sheikh Mohammed Sultan.	Adam Surat ("Inner Strength") is a 1989 documentary film directed by Tareque Masud about the Bangladeshi painter Sheikh Mohammed Sultan.	Adam Surat (``The Inner Strength '') is a 1989 Bangladeshi documentary film about the Bangladeshi painter Sheikh Mohammed Sultan, directed by Tareque Masud.	Adam Surat (is a documentary film directed by Tareque Masud in 1989 about the Bangladeshi painter Sheikh Mohammed Sultan.	Adam Surat ("a 1989 documentary film directed by Tareque Masud about the Bangladeshi painter Sheikh Mohammed Sultan.
6273	Die am häufigsten gesponnene tierische Faser ist Schafswolle. Für Handarbeiten und zum Hobbystricken werden oftmals Wolle und Acrylfasern verwendet.	The most frequently spun animal fibre is wool harvested from sheep. For hand knitting and hobby knitting, thick wool and acrylic yarns are often used.	The most commonly spun animal fiber is sheep's wool. Wool and acrylic fibers are often used for handicrafts and hobby knitting.	The most commonly spun animal fiber is wool harvested from sheep. For hand knitting and hobby knitting, thick, wool and acrylic yarns are frequently used.	Is wool harvested from sheep . For hand knitting and hobby knitting, thick wool and acrylic yarns are often used.	The most commonly's wool . wool and acrylic fibers are often used for handicrafts and hobby knitting.
644	Um Hoth zu entwickeln, haben die Designer viel Material aus „Das Imperium schlägt zurück“ verwendet, um eine möglichst authentische Nachbildung herzustellen.	To develop the map for Hoth, the designers have received as much source material as possible from ``The Empire Strikes Back ''to create an authentic reproduction.	To create Hoth, the designers used a lot of material from The Empire Strikes Back to create the most authentic recreation possible.	To develop the map for Hoth, the designers obtained as much source material from ``The Empire Strikes Back ''as possible so to create an authentic reproduction.	To develop the map received as much source material as possible from "the Empire strikes back "to create an authentic reproduction.	To create Hoth lot of material from the Empire strikes back to create the most authentic recreation possible.
4483	Die Grundzüge der Systemtheorien wurden in „Seasonal Variation of Eskimo“ von Julian Steward dargelegt und später im Buch von Marcel Mauss wieder aufgegriffen.	The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Marcel Mauss' work.	The basics of the systems theories were presented in Julian Steward's "Seasonal Variation of Eskimo" and later taken up again in the book by Marcel Mauss.	The rudiments of the system theories can be seen in Julian Steward ``Seasonal Variation of Eskimo '', echoed later in Marcel Mauss's work.	Can be seen in Julian Steward's "seasonal variation of Eskimo ", which was later repeated in Marcel Mauss' work.	The presented in Julian Steward's "seasonal variation of Eskimo "and later taken up again in the book by Marcel Mauss.
6566	Der Papst schlug 1980 eine Lösung vor, die von Chile akzeptiert, von Argentinien jedoch abgelehnt wurde.	The Pope proposed in 1980 a solution that was accepted by Chile and rejected by Argentina.	The Pope proposed a solution in 1980 that was accepted by Chile but rejected by Argentina.	The Pope proposed a solution accepted by Chile in 1980 and rejected by Argentina.	In 1980 a solution that was accepted by Chile and rejected by Argentina.	The solution in 1980 that was accepted by Chile but rejected by Argentina.
3332	Der Azusa Campus der Azusa Pacific University befindet sich im San Gabriel Valley, nordöstlich von Los Angeles.	Azusa Pacific University's Azusa Campus is located in San Gabriel Valley, northeast of Los Angeles.	Azusa Pacific University's Azusa campus is located in the San Gabriel Valley, northeast of Los Angeles.	The Azusa campus of Azusa Pacific University is located in San Gabriel Valley, northeast of Los Angeles.	Azusa campus is located in San Gabriel Valley, northeast of Los Angeles.	Azusa campus is located in the San Gabriel Valley, northeast of Los Angeles.
4809	2012 spielte Gil als Jennifer la Pena im TV-Remake des Films „Mundo Man ay Magunaw“ von Salvador Royales mit.	In 2012, Gil became part of the TV - Remake of the Salvador - Royales - Films ''Mundo Man ay Magunaw ``as Jennifer la Pena.	In 2012, Gil starred as Jennifer la Pena in the TV remake of the Salvador Royales film Mundo Man ay Magunaw.	In 2012, Gil became part of the TV remake of the Salvador Royales film ``Mundo Man ay Magunaw ''as Jennifer la Pena.	In 2012 TV - remake of the Salvador - Royales - films "Mundo man AY Magunaw "as Jennifer La Pena.	In 2012 La Pena in the TV remake of the Salvador Royales film Mundo man AY Magunaw.
2460	Während die Kämpfergruppe 33d inaktiv war, wurde sie mit der taktischen Gruppe 33d zur taktischen Kämpfergruppe 33d zusammengelegt.	While the 33d Fighter Group was inactive, it was merged with the 33d Tactical Group as a 33d Tactical Fighter Group.	While the 33d Fighter Group was inactive, it was merged with the 33d Tactical Group to form the 33d Tactical Fighter Group.	While the 33d Fighter Group was inactive, it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group.	While the, it was merged with the 33d tactical group as a 33d tactical fighter group.	While the 33d it was merged with the 33d tactical group to form the 33d tactical fighter group.
